Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cadherin Binding Involved In Cell-Cell Adhesion (GO:0098641),0.5910014205096779,1.7510764654166464,0.007211538461538462,0.12750620166350504,0.783,10/15,26.11%,ANXA2;PDLIM5;RAB10;STXBP6;CNN3;S100A11;TRIM29;CDC42EP1;EPCAM;TMOD3
prerank,Histone Deacetylase Activity (GO:0004407),-0.5894788420613151,-1.7416611040117738,0.011090573012939002,0.09037160106458969,0.796,5/17,11.81%,HDAC4;SIRT4;HDAC8;HDAC10;HDAC3
prerank,Histone H3 Methyltransferase Activity (GO:0140938),-0.5080742932663187,-1.7415662880963056,0.0034129692832764505,0.0858530210113602,0.796,15/34,19.17%,SETBP1;SETDB1;EZH1;SUV39H2;SMYD2;KMT2B;SETDB2;NSD3;SETD1A;EZH2;SETD2;DOT1L;NSD2;KMT2E;CARM1
prerank,Nuclear Receptor Coactivator Activity (GO:0030374),-0.46647934635566396,-1.7396030196815508,0.0033222591362126247,0.08298717898740877,0.802,26/49,22.19%,KDM1A;TRERF1;PRKCB;RBM14;DCAF6;PPARGC1B;ZMIZ1;BRD8;ETS1;TACC1;USP22;MED22;PPRC1;NCOA6;MED12;ACTN4;CALCOCO1;NCOA1;PPARGC1A;CCAR1;ATXN7L3;CARM1;ELK1;MED30;MED1;ZMIZ2
prerank,Histone H3K4 Methyltransferase Activity (GO:0042800),-0.691204673303502,-1.73546472971047,0.0075046904315197,0.08353664029747271,0.821,4/11,11.44%,SETBP1;KMT2B;NSD3;SETD1A
prerank,Syntaxin Binding (GO:0019905),-0.4620216655702674,-1.72893155780292,0.0033003300330033004,0.08577448052317031,0.845,16/50,15.03%,STXBP5L;STXBP1;LRRK2;PTPN2;UNC13B;STX6;SNAP25;UNC13C;CACNA1A;NAPA;PRRT2;SNPH;DAPK1;STXBP5;STX10;STX8
prerank,"Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, NAD Or NADP As Acceptor (GO:0016620)",0.5854916693517749,1.726030591092761,0.009153318077803204,0.1494358397087129,0.863,7/16,12.35%,AKR1C3;ALDH9A1;AKR1C4;ALDH4A1;ALDH2;ALDH3A2;ALDH6A1
prerank,Alkali Metal Ion Binding (GO:0031420),-0.6978293837017076,-1.722733481956457,0.005597014925373134,0.08723161326458802,0.866,8/10,20.62%,HDAC4;ATP4A;PDXK;ATP1A1;KCNJ11;DRG1;IMPA1;TDG
prerank,SUMO Ligase Activity (GO:0061665),-0.6468435738103404,-1.7067369773771524,0.02018348623853211,0.09674865357825045,0.898,8/12,24.56%,PIAS2;EGR2;ZMIZ1;PIAS1;PIAS4;KIAA1586;ZMIZ2;RANBP2
prerank,Copper Ion Binding (GO:0005507),0.453522429571418,1.6972586688211142,0.005076142131979695,0.17806669654582977,0.914,14/36,19.94%,S100A13;SNCG;HEPH;ATP7A;LACC1;RNF7;ATOX1;MUC2;ALB;CUTA;ATP7B;PAM;AOC3;LOXL3
prerank,Cytokine Receptor Activity (GO:0004896),0.41804246021709174,1.6893116171858287,0.005509641873278237,0.1787481897764213,0.929,25/53,26.99%,IL13RA1;CX3CR1;CCR1;IL3RA;LEPR;IL21R;IL10RB;LIFR;IL17RB;IL13RA2;IL4R;CD44;CD4;IL10RA;CD74;GFRAL;CXCR3;CCR5;CSF2RA;MPL;IL2RB;IL9R;IL17REL;CRLF2;GPR17
prerank,bHLH Transcription Factor Binding (GO:0043425),-0.5707636488415041,-1.6878080648225753,0.0051813471502590676,0.11259112858590088,0.93,8/18,17.42%,KDM1A;FHL2;MAP3K10;USF1;USF2;SCX;CREBBP;BHLHE40
prerank,Monocarboxylic Acid Binding (GO:0033293),0.5893438553288792,1.6877031060794583,0.013605442176870748,0.17090116945654665,0.929,7/13,16.66%,PYGL;AKR1C3;NR2F2;AKR1C4;RXRA;LCN12;CYP2W1
prerank,Phosphatidate Phosphatase Activity (GO:0008195),0.5869183243643832,1.6874479375770892,0.02745995423340961,0.16218833966574103,0.929,7/13,20.94%,PLPP4;PLPP3;PLPP6;PLPPR1;LPIN3;PLPP2;PLPPR3
prerank,Voltage-Gated Potassium Channel Activity (GO:0005249),-0.42348628441002534,-1.6610569708612792,0.009538950715421303,0.1364859150322104,0.965,21/64,9.25%,KCNJ3;KCNJ6;KCNB1;KCNS1;KCNT1;KCNH1;KCNS2;KCND3;KCNMA1;KCNN1;PKD2;KCNH3;KCNJ9;KCNH4;LRRC38;KCNS3;KCNC1;KCNC3;KCNQ5;KCNC4;KCNV2
prerank,NADP Binding (GO:0050661),0.45172216270486737,1.65171601161591,0.0170316301703163,0.1996168518479915,0.969,14/32,22.49%,TP53I3;ME1;LBR;QDPR;CRYZ;DECR1;TM7SF2;CBR4;DHCR7;NDOR1;NOS3;ME3;DPYD;DHFR
prerank,Adenyl Nucleotide Binding (GO:0030554),0.4755198052925593,1.6453109164041837,0.02107728337236534,0.1983259727355118,0.971,13/27,25.34%,BDH2;HPGD;ME1;TM7SF2;ALDH2;DHCR7;IFIH1;NDOR1;NOS3;DPYD;DHFR;CAT;DHFR2
prerank,Myosin V Binding (GO:0031489),0.5828455974928541,1.6434097479654526,0.03255813953488372,0.1919411538410517,0.971,7/13,20.47%,RAB10;RAB3C;RAB39B;RAB3D;RAB8A;RAB11A;RAB6A
prerank,SUMO Transferase Activity (GO:0019789),-0.5329394841198967,-1.6425420922804972,0.014925373134328358,0.1552444281221084,0.977,11/23,24.56%,HDAC4;PIAS2;EGR2;ZMIZ1;UBE2I;PIAS1;PIAS4;KIAA1586;TRIM28;ZMIZ2;RANBP2
prerank,SUMO Binding (GO:0032183),-0.6039483953399586,-1.6415501742019951,0.017793594306049824,0.151333694194997,0.979,8/14,27.40%,GCNA;RNF111;HERC2;SIMC1;UBA2;TDG;USP25;SERBP1
prerank,Flavin Adenine Dinucleotide Binding (GO:0050660),0.41283135980174535,1.6383702861103884,0.0078125,0.1894191508819187,0.974,24/47,22.99%,SQOR;LDHD;SQLE;CYBB;ACOX2;CYB5R1;AIFM2;ACADVL;CYB5R3;ETFDH;ACOX1;TXNRD1;CYB5R2;KDM1B;NDOR1;ILVBL;NOS3;GFER;PRODH;POR;GCDH;GSR;DPYD;HCRT
prerank,Potassium Channel Activity (GO:0005267),-0.41941718235419095,-1.6360799835329578,0.00631911532385466,0.15386357217059943,0.982,28/66,21.09%,HCN1;KCNK12;KCNK10;KCNT1;KCNS2;KCND3;KCNMA1;KCNN1;PKD2;KCNH3;KCNH4;LRRC38;KCNS3;KCNC1;KCNC3;KCNQ5;KCNC4;KCNV2;TMEM38A;PKD2L1;KCNJ11;KCNF1;KCNA1;KCNA2;KCNK6;LRRC55;KCNN2;KCNT2
prerank,cAMP Binding (GO:0030552),-0.6695709730679351,-1.6294086036174162,0.02033271719038817,0.1572729938721306,0.985,4/10,18.30%,HCN1;PDE4A;RAPGEF2;POPDC3
