roi_id,roi_name,tvs_value,pls1_score
100,ROI_100,-0.0194580294191837,-12.333633028883547
101,ROI_101,-0.0281561128795146,0.8218674077613246
102,ROI_102,0.0009499643929302,-10.23284818092836
103,ROI_103,-0.0131873022764921,4.7322918029471515
104,ROI_104,0.0007326727500185,4.420928402180515
105,ROI_105,-0.0366800054907798,-33.249909041578356
106,ROI_106,-0.0400547236204147,-17.173589200695684
107,ROI_107,-0.0253030713647604,-26.647319836852237
108,ROI_108,0.0266274753957986,-29.358676075979176
109,ROI_109,-0.0160172190517187,45.03284772435478
110,ROI_110,-0.0362984649837017,40.99916040347169
111,ROI_111,0.0105436667799949,27.626709435167015
112,ROI_112,-0.0048926761373877,27.31352082766414
113,ROI_113,-0.0515267513692378,-14.242000820229268
114,ROI_114,-0.0409464389085769,-0.8771320110678387
115,ROI_115,-0.0277611464262008,58.22719143295057
116,ROI_116,-0.0260666906833648,44.40170759044154
117,ROI_117,-0.0109840473160147,56.53143032017329
118,ROI_118,0.0112835681065917,22.897337665177353
119,ROI_119,-0.0654366835951805,-26.009514197234786
120,ROI_120,-0.0176340248435735,-6.99513147161642
121,ROI_121,0.0157422460615634,-34.242525916844166
122,ROI_122,0.0468124449253082,-22.104977016141717
123,ROI_123,0.0871305242180824,-22.998983573463327
124,ROI_124,0.0754332244396209,-24.634413153857817
125,ROI_125,-0.1085901856422424,-42.41529747509027
126,ROI_126,-0.0751045495271682,-43.92879532306135
127,ROI_127,-0.0151356644928455,-55.31114637645194
128,ROI_128,0.0096322819590568,-46.17228809302019
129,ROI_129,-0.0611871778964996,-44.07476727462082
130,ROI_130,-0.0537404827773571,-35.91058337294785
131,ROI_131,-0.0798031985759735,-36.26316108678332
132,ROI_132,-0.0065842289477586,-29.320089621802556
133,ROI_133,0.0123383374884724,-47.75439102531542
134,ROI_134,-0.0918896943330764,-22.698218728261455
135,ROI_135,-0.0643371120095253,-46.87611508866122
136,ROI_136,-0.0075610787607729,-50.05763080968574
137,ROI_137,0.0102030355483293,-41.645353907791126
138,ROI_138,0.0552289150655269,-44.778678804409
139,ROI_139,-0.02504956535995,-24.516159156239258
140,ROI_140,0.0398561060428619,-30.576091211402865
141,ROI_141,0.0433595441281795,-28.346127346423383
142,ROI_142,0.1237355470657348,-14.9439115778982
143,ROI_143,-0.0006492945831269,-30.353776975962237
144,ROI_144,0.0656728446483612,-30.390322281697312
145,ROI_145,-0.0327032692730426,-28.17158338078482
146,ROI_146,-0.0106824589893221,-28.433494960457523
147,ROI_147,0.0705664455890655,-36.61899232074799
148,ROI_148,0.1506874412298202,-56.622861319808266
149,ROI_149,-0.0988524854183197,-53.054919699462616
150,ROI_150,-0.065142348408699,-41.97456300835857
151,ROI_151,-0.0727276355028152,-52.01974665596188
152,ROI_152,-0.0566345788538456,-44.73458593048571
153,ROI_153,0.0201814696192741,-44.01723043945665
154,ROI_154,0.0398729369044303,-5.609214229305824
155,ROI_155,0.1097047552466392,-38.051298832201525
156,ROI_156,0.0707675516605377,-32.33544174421998
157,ROI_157,-0.004438211210072,-27.88421382002896
158,ROI_158,-0.0120416367426514,-23.76577793666398
159,ROI_159,0.0254846028983592,-35.962049281458455
160,ROI_160,0.0080031212419271,-45.2965081646305
161,ROI_161,-0.0806091353297233,-33.89402264405421
162,ROI_162,-0.0420046001672744,-15.764932946489859
163,ROI_163,-0.0041574127972126,-27.723598593593675
164,ROI_164,-0.0362654961645603,-35.210166866435465
165,ROI_165,-0.0144663779065012,18.849767411883136
166,ROI_166,0.0295668989419937,26.92741655199305
167,ROI_167,-0.0077152922749519,3.6473029769808476
168,ROI_168,-0.0076770083978772,0.7986166877437034
169,ROI_169,0.0058996081352233,24.01522655890181
170,ROI_170,0.0399251766502857,-8.142051388357714
171,ROI_171,-0.0078186495229601,-18.350623582431776
172,ROI_172,0.0092028379440307,-11.004642297654259
173,ROI_173,-0.0045460313558578,3.915786955642262
174,ROI_174,-0.0101878670975565,0.2210018366650112
175,ROI_175,-0.0015841873828321,-26.113333857123976
176,ROI_176,0.0329520739614963,-27.838916483906562
177,ROI_177,-0.0205673519521951,49.56358898804055
178,ROI_178,-0.0092295780777931,7.621813812697417
179,ROI_179,-0.0159092750400304,41.79278290204148
180,ROI_180,0.0137146105989813,-2.2170540996120325
181,ROI_181,-0.0323401317000389,-14.150872880103549
182,ROI_182,-0.0160250309854745,3.576895117704851
183,ROI_183,-0.0264842957258224,11.687555394965742
184,ROI_184,-0.0410973690450191,-5.146534261263272
185,ROI_185,-0.0188192501664161,-10.372043653161793
