Unnamed: 0,roi_id,roi_name,tvs_value
127,128,ROI_128,0.0096322819590568
128,129,ROI_129,-0.0611871778964996
129,130,ROI_130,-0.0537404827773571
130,131,ROI_131,-0.0798031985759735
131,132,ROI_132,-0.0065842289477586
132,133,ROI_133,0.0123383374884724
133,134,ROI_134,-0.0918896943330764
134,135,ROI_135,-0.0643371120095253
135,136,ROI_136,-0.0075610787607729
136,137,ROI_137,0.0102030355483293
137,138,ROI_138,0.0552289150655269
138,139,ROI_139,-0.02504956535995
139,140,ROI_140,0.0398561060428619
140,141,ROI_141,0.0433595441281795
141,142,ROI_142,0.1237355470657348
142,143,ROI_143,-0.0006492945831269
143,144,ROI_144,0.0656728446483612
144,145,ROI_145,-0.0327032692730426
145,146,ROI_146,-0.0106824589893221
146,147,ROI_147,0.0705664455890655
147,148,ROI_148,0.1506874412298202
148,149,ROI_149,-0.0988524854183197
149,150,ROI_150,-0.065142348408699
150,151,ROI_151,-0.0727276355028152
151,152,ROI_152,-0.0566345788538456
152,153,ROI_153,0.0201814696192741
153,154,ROI_154,0.0398729369044303
154,155,ROI_155,0.1097047552466392
155,156,ROI_156,0.0707675516605377
156,157,ROI_157,-0.004438211210072
157,158,ROI_158,-0.0120416367426514
158,159,ROI_159,0.0254846028983592
159,160,ROI_160,0.0080031212419271
160,161,ROI_161,-0.0806091353297233
161,162,ROI_162,-0.0420046001672744
162,163,ROI_163,-0.0041574127972126
163,164,ROI_164,-0.0362654961645603
164,165,ROI_165,-0.0144663779065012
165,166,ROI_166,0.0295668989419937
166,167,ROI_167,-0.0077152922749519
167,168,ROI_168,-0.0076770083978772
168,169,ROI_169,0.0058996081352233
169,170,ROI_170,0.0399251766502857
170,171,ROI_171,-0.0078186495229601
171,172,ROI_172,0.0092028379440307
172,173,ROI_173,-0.0045460313558578
173,174,ROI_174,-0.0101878670975565
174,175,ROI_175,-0.0015841873828321
175,176,ROI_176,0.0329520739614963
176,177,ROI_177,-0.0205673519521951
177,178,ROI_178,-0.0092295780777931
178,179,ROI_179,-0.0159092750400304
179,180,ROI_180,0.0137146105989813
180,181,ROI_181,-0.0323401317000389
181,182,ROI_182,-0.0160250309854745
182,183,ROI_183,-0.0264842957258224
183,184,ROI_184,-0.0410973690450191
184,185,ROI_185,-0.0188192501664161
185,186,ROI_186,0.0101793501526117
186,187,ROI_187,-0.0420894473791122
187,188,ROI_188,-0.0528145208954811
188,189,ROI_189,-0.041075762361288
189,190,ROI_190,0.0279952269047498
190,191,ROI_191,-0.0831871554255485
191,192,ROI_192,-0.0449297875165939
192,193,ROI_193,-0.1003569886088371
193,194,ROI_194,-0.0077673904597759
194,195,ROI_195,-0.1183666139841079
195,196,ROI_196,-0.0379726476967334
196,197,ROI_197,-0.1293191015720367
197,198,ROI_198,-0.0668259263038635
198,199,ROI_199,-0.0831702649593353
199,200,ROI_200,0.0043429411016404
200,201,ROI_201,-0.1298230290412902
201,202,ROI_202,-0.0507132820785045
202,203,ROI_203,-0.0366994179785251
203,204,ROI_204,0.0171823874115943
204,205,ROI_205,-0.0981489717960357
205,206,ROI_206,0.0168180596083402
206,207,ROI_207,-0.0951138660311698
207,208,ROI_208,-0.0013800864107906
208,209,ROI_209,-0.0716926455497741
209,210,ROI_210,0.0360254123806953
210,211,ROI_211,0.0053667626343667
211,212,ROI_212,0.0096298372372984
212,213,ROI_213,0.0002382496313657
213,214,ROI_214,0.0148212434723973
214,215,ROI_215,-0.0046079936437308
215,216,ROI_216,0.0030956761911511
216,217,ROI_217,-0.01472092512995
217,218,ROI_218,-0.0041359523311257
218,219,ROI_219,0.0241997204720974
219,220,ROI_220,0.0376544035971164
220,221,ROI_221,-0.0142576210200786
221,222,ROI_222,-0.0087196389213204
222,223,ROI_223,0.0055868322961032
223,224,ROI_224,0.0110566541552543
224,225,ROI_225,0.0136574506759643
225,226,ROI_226,0.007282034959644
226,227,ROI_227,0.032672431319952
227,228,ROI_228,0.0182556211948394
228,229,ROI_229,-0.0164843574166297
229,230,ROI_230,-0.0092459432780742
230,231,ROI_231,0.0343309491872787
231,232,ROI_232,0.0461733378469944
232,233,ROI_233,0.0045174625702202
233,234,ROI_234,0.0038789922837167
234,235,ROI_235,0.0066953524947166
235,236,ROI_236,0.0161438602954149
236,237,ROI_237,0.1005616337060928
237,238,ROI_238,0.0949281975626945
238,239,ROI_239,0.0145438471809029
239,240,ROI_240,0.0379669778048992
240,241,ROI_241,0.0393555536866188
241,242,ROI_242,0.0703652128577232
242,243,ROI_243,0.0528368987143039
243,244,ROI_244,0.0720090717077255
244,245,ROI_245,0.0146375419571995
245,246,ROI_246,0.0086388671770691
