Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Glyoxylate and dicarboxylate metabolism,0.20538834420268703,0.6863185935858154,0.9009661835748792,0.9891696824807618,1.0,9/26,28.15%,HYI;GCSH;PCCA;ACSS1;GLYCTK;CAT;SHMT2;ACO1;GLUL
prerank,Pentose phosphate pathway,0.2004187926211517,0.6842004219850322,0.9108433734939759,0.9837633935914113,1.0,7/26,24.37%,DERA;H6PD;GLYCTK;TKT;PFKL;IDNK;TALDO1
prerank,Parkinson disease,-0.14248229370167426,-0.670976484142998,0.9986357435197817,1.0,1.0,66/221,31.58%,KIF5A;NDUFA10;LRRK2;KIF5C;CAMK2A;MAPK10;ITPR1;CAMK2G;COX7A1;PSMA1;CALML4;NDUFA4;PSMD11;CALML6;NDUFS1;PSMD14;UQCRC2;KLC2;NDUFB5;KLC4;MAPK8;UQCRC1;GNAS;DAXX;SLC25A5;GNAI1;DRD1;SLC25A6;CYC1;UQCRH;PRKN;PSMD6;SLC25A4;UQCRHL;ATF4;PARK7;NDUFA8;ATP5F1B;PSMA6;NDUFS2;SDHB;CAMK2B;NDUFB4;MAPK9;SDHA;UBE2G2;COX5A;NDUFB9;NDUFA9;MAPT;NDUFC1;MAP3K5;ATP5F1A;TUBA4A;HTRA2;UBE2J2;PSMD2;UQCR10;PRKACB;PSMC4;COX6A1;SNCA;NDUFS4;NDUFV2;XBP1;RPS27A
prerank,Mismatch repair,-0.2129614633171113,-0.6661248243054283,0.9239864864864865,1.0,1.0,10/22,36.20%,RFC5;RFC2;RFC4;POLD3;PMS2;MSH2;LIG1;PCNA;RPA2;MLH1
prerank,RNA polymerase,-0.20546282997682563,-0.6658061343662522,0.9078498293515358,1.0,1.0,6/27,17.92%,POLR3A;POLR1D;POLR3F;POLR1C;POLR1E;POLR2H
prerank,Renin-angiotensin system,-0.25187362085111076,-0.6608572353431595,0.8898756660746003,0.9983881273961961,1.0,5/11,26.21%,LNPEP;CTSA;THOP1;PREP;NLN
prerank,Measles,0.13901949294773341,0.6496577083431108,0.9912023460410557,0.9928760342019277,1.0,39/104,32.21%,DDX58;CD3D;JAK3;IRF7;IRF9;EIF2AK4;CD3E;MSN;OAS1;IFIH1;STAT5A;TLR4;OAS3;MYD88;EIF2AK3;EIF2AK1;TAB2;TLR9;CDK6;HSPA6;CDK4;PIK3CD;IL2RB;HSPA2;TLR2;CD46;TP73;HSPA1A;CASP8;CBLB;CSNK2A1;CASP9;BCL2;CCNE1;JUN;RAB9A;IRAK4;CCND1;MX1
prerank,Viral carcinogenesis,-0.1457598199378474,-0.6471220202949515,0.9957386363636364,0.9980390682847424,1.0,34/148,25.13%,HDAC4;PIK3R1;ATF6B;HDAC8;EGR2;TRAF3;GTF2A1;HDAC10;PIK3R2;CCND2;REL;IRF3;HDAC3;GTF2H4;SNW1;SRF;EP300;CREBBP;ACTN4;GRB2;IKBKG;TRADD;RASA2;ATF2;BAK1;DLG1;CDKN1B;CREB1;SCRIB;GTF2B;MAD1L1;ATF4;DNAJA3;NFKB1
prerank,Ribosome biogenesis in eukaryotes,-0.16071184636767877,-0.6401915594082053,0.9789473684210527,0.9940362967275539,1.0,8/72,12.77%,UTP6;TCOF1;UTP4;POP1;MDN1;GNL3L;UTP18;RBM28
prerank,Non-homologous end-joining,0.2313238932536344,0.6372598084333062,0.8967032967032967,0.9904160380766207,1.0,2/12,16.28%,POLM;XRCC4
prerank,Chronic myeloid leukemia,-0.15890419916236903,-0.6331603903673276,0.9863013698630136,0.9900090290570739,1.0,11/71,17.48%,PIK3R1;DDB2;PIK3R2;AKT1;RAF1;AKT3;MYC;SHC3;GRB2;IKBKG;AKT2
prerank,Mitophagy,-0.1615763645653758,-0.6244014582990547,0.990990990990991,0.9863864574880187,1.0,32/63,38.94%,MAPK10;GABARAPL1;BNIP3L;ULK1;ATG5;CITED2;RHOT2;MAPK8;ATG9A;PRKN;USP30;PGAM5;SQSTM1;RAB7B;ATF4;MAPK9;BECN1;CSNK2A2;RPS27A;TBC1D17;SRC;UBB;E2F1;BNIP3;KRAS;TOMM7;PINK1;MFN1;AMBRA1;USP15;RHOT1;CSNK2B
prerank,Phototransduction,-0.2202980189946984,-0.6040337992726933,0.9493891797556719,0.985526348760869,1.0,3/14,17.26%,CALML4;CALML6;GUCA1B
prerank,Mannose type O-glycan biosynthesis,0.16834283518032134,0.5445198284519607,0.9850746268656716,1.0,1.0,22/22,83.19%,B4GALT1;POMGNT2;FKRP;B3GAT2;LARGE2;B4GAT1;B4GALT2;POMGNT1;RXYLT1;FKTN;B4GALT3;CHST10;FUT4;POMT2;FUT9;POMK;B3GALNT2;LARGE1;MGAT5B;ST3GAL3;B3GAT1;POMT1
prerank,Citrate cycle (TCA cycle),0.1514203320655636,0.5117955802923508,0.9899749373433584,0.9969138294531916,1.0,9/28,35.59%,SUCLG2;SDHC;ACLY;IDH2;ACO1;IDH1;PC;PCK2;PDHB
