gene,pls1_weight,boot_mean,boot_std,z_boot,p_boot
COL7A1,-0.010020861173080283,-0.008955654453959579,0.002785155898885634,-3.597953413340244,0.0003207310485748849
ANKRD46,-0.008901513022578135,-0.00807150391777896,0.0024739092675405425,-3.598156625779428,0.0003204806094403434
EZH2,-0.011474187121436118,-0.010330781472528642,0.003188772615180992,-3.5983083481118183,0.00032029374610687
CEBPB,-0.00931867754632286,-0.008470288247659889,0.0025894421264060488,-3.5987201456618316,0.0003197870844366957
NMT1,-0.00874314760998551,-0.008007733215504841,0.0024291618607409195,-3.5992445589108497,0.00031914295023383055
HS3ST2,-0.008065669529469044,-0.0074043592472884685,0.0022405829158639976,-3.5998085464107086,0.0003184515627179252
DDHD1,-0.009024555241105287,-0.008193685279069855,0.002506152497404542,-3.6009601372827187,0.0003170441891688913
ATG10,-0.010067290985420786,-0.009199306433492569,0.0027956100643512717,-3.6011070047985845,0.00031686511976269927
ZFHX2,-0.011375355053466698,-0.010678256316569273,0.0031565988265581007,-3.6036746126115062,0.0003137497990626237
DNM1P50,-0.008531645088724293,-0.0077139044227132175,0.002367042163482361,-3.604348591819188,0.00031293681329769285
CNN1,-0.00893587807959221,-0.008152284460108369,0.0024781815728353615,-3.605820565184982,0.0003111681014242862
CORO6,-0.00969693042209575,-0.008798711678719923,0.0026876068129238267,-3.6080167588005683,0.0003085465641017304
KALRN,-0.008518906970430925,-0.00768456733111235,0.0023606930157794646,-3.608646661589801,0.00030779849095408096
MARK3,-0.012083591955625188,-0.011134393375594543,0.0033473240179279972,-3.6099259859238138,0.00030628438832769334
SCRT1,-0.009776822804696631,-0.008780442670135878,0.00270704786589572,-3.6116180019822566,0.00030429256807984473
RPH3A,-0.007297291658744655,-0.006629972063342713,0.002020394874388592,-3.611814577065262,0.0003040619504335318
UBE2Q2P1,-0.014148789568973849,-0.013069016421541011,0.003915642581144061,-3.613401702470989,0.00030220595557461927
RFXAP,-0.012629705206140146,-0.01160382557246692,0.003494770019634968,-3.6138873617381355,0.0003016401458058038
