"G_front_sup","S_central","S_temporal_sup","G_and_S_paracentral","G_precentral","G_postcentral","G_front_sup","S_intrapariet_and_P_trans","G_pariet_inf-Supramar","G_orbital","S_temporal_sup","G_and_S_paracentral","mean"
3.090169754799758,2.0445322803379704,2.558194836034993,2.5493694084211134,2.9788337375726495,2.298802084785542,3.0316986590282866,2.3430325652161073,2.8269085595464296,3.0677948112957076,2.6914712939371777,2.511773643621676,2.6660484695497844
2.7995560050209507,1.8865290746778116,2.439793201050652,2.205841240013989,2.6970394415198466,2.129918558742287,2.7686644473998503,2.1268869314847048,2.732649385075173,2.6982148927110674,2.499494924310628,2.377323908180418,2.446826000848948
2.9760720570342496,2.0432572473730555,2.5315571164817157,2.59632031283748,2.932122207032392,2.1503655587414046,2.952583378912564,2.126528694915638,2.7602678949819253,2.8967445565266443,2.532912800132686,2.5967701954216187,2.5912918350326146
2.8092933608033075,1.9789793255079748,2.3917797847467677,2.374540546567927,2.8014284190870784,2.216801183724478,2.682673018169015,2.1312480380887986,2.600607658895631,2.770397734272388,2.559893904535278,2.214921157282423,2.4610470109734224
2.8845355951391234,1.5386337581256273,2.435976675294307,2.2671441271586317,2.54654831509226,1.95792080395308,2.789493703960372,2.1521164251873364,2.5961444404371146,2.45761749030847,2.341060461592219,2.4963502562801603,2.371961837710725
2.8863177638352697,2.0130492584657804,2.346823049901089,2.4253192248058992,2.6878839870847537,2.169033044931657,2.8594557239661955,1.9438027004953686,2.719601327476893,2.809998444487119,2.4913085240913206,2.5038737701383273,2.488038901639973
2.9051926537073594,1.968800450273777,2.5689389480478826,2.346715634924845,2.7910355326437974,2.335469584683809,2.9259149230923813,2.2807566556023025,2.7841866583969894,2.8581506173378455,2.6173138492889287,2.400368270005139,2.5652369815004215
3.0135506603415023,2.0455761788868547,2.61885157240629,2.700087946380528,2.791841887314376,2.125461937389879,2.966195886261797,2.2081403519635114,2.8911859922843997,2.8146264032358106,2.691942371757431,2.7571308035141144,2.635382665978041
2.913949710884803,1.8393745262980898,2.5207838113961607,2.2562098823697636,2.750170721973305,2.124106630160619,2.938370152281163,2.215596186325933,2.6553091379496294,2.8191017388574275,2.550480162533647,2.3343428223800493,2.4931496236175494
2.8383838298322472,1.7088172290084513,2.262521535849973,2.30016446601547,2.6244237759718585,2.186817910875748,2.88930300492656,1.9830917308674478,2.738953740657116,2.8388685316681097,2.4403791806796535,2.2084578471389453,2.418348565290965
2.8818132866982595,1.9239559095712226,2.484434799329769,2.411068100639632,2.866321888009338,2.11430032119414,2.851192103006929,2.166906690636555,2.67821982241064,3.1353133307750434,2.687182013352651,2.5198103726225,2.56004321985389
3.1839163314736627,2.0509363837634154,2.518806462746581,2.633138845399232,3.032397660308578,1.976057042114821,3.047496211519685,2.289635674234916,2.9995582058755352,2.9479488540989482,2.5734865440858505,2.435041905656247,2.640701676773123
2.7161678401435987,1.7972016595804357,2.3283630176517276,2.3172927557057896,2.543306550159051,2.0979486133475427,2.7826586962958615,1.9271897264861437,2.6272496893333046,2.7008865775988085,2.5190951281230634,2.192115346678126,2.379122966758621
2.955049336240608,1.9731571649117445,2.5232429161290266,2.3268770691479594,2.975709418517271,1.9860689187871998,2.931499946005254,2.007366291574153,2.5815420670233804,2.901126772135165,2.5731827834775993,2.437510613456998,2.5143611081171966
2.6102348037183014,2.0904440255634755,2.8566454461955315,2.020406180546737,2.420291641548322,1.7749109575978776,2.559954182749452,2.0818838321747335,2.498359560226415,2.655166897100353,2.3254044034550407,2.0199358224291615,2.3261364794421167
3.0561659442603033,2.047786503071993,2.3561534885209134,2.8446855627420082,3.161751534332309,2.236209748069185,3.2532480722646087,2.3105703668948894,2.797348587851128,2.83043036402216,2.611981225505664,2.4889823110695457,2.6662761423837256
3.153188026587623,1.9296332724607714,2.48519000766889,2.607827447931951,2.9155275964084915,2.3755535486927397,3.050062382248501,2.300775426805981,2.7929134991699556,2.8277075683222823,2.604920272244775,2.5182370570763735,2.630128008801528
2.952613216284942,1.9821574131211082,2.5788981171881296,2.5507616830963484,2.8631889196064697,2.1856495925387485,2.9870335553367116,2.3903739918384814,2.8429029983003136,3.0888808136802752,2.6897122785706835,2.586213974833069,2.6415322128662733
2.9809154448606923,1.988046594907173,2.5933986129031488,2.362253228595979,2.9396715646127185,2.116325942258544,3.001307934105866,2.232286726004168,2.7196783363648334,3.0618617842403935,2.7058970354679808,2.4187391863112717,2.5933651992193973
3.275613741503178,1.911480702614464,2.4997264189127635,2.7894631581197324,2.949341699803946,2.186394526259313,3.113415834287211,2.2325372971578656,2.8221579330983113,3.0595353861870813,2.6731119966500847,2.615958053828545,2.677394729035208
2.9996910321306323,1.9399771521767806,2.5860229813985662,2.5170238614607023,3.033028688039573,2.2114137385977948,2.9851273007287404,2.08799840488639,2.8198962684404085,2.9183491224546727,2.695430013822712,2.4810530995084368,2.606250971970451
