subject,run,state1_dcmean,state2_dcmean,state3_dcmean,state4_dcmean,state5_dcmean,state6_dcmean,state7_dcmean,state8_dcmean,state9_dcmean,state10_dcmean
sub-019,RW,-0.04575496036025737,-0.1300185243461326,-0.10235778535790857,-0.023529096788037964,-0.03596878777972316,-0.06004214016370114,0.0020095569099478922,-0.007346652306963472,0.08422495108675097,-0.06152907589076232
sub-019,SD,-0.016633838037518937,-0.1930817629963617,-0.020682066798020544,-0.20264423115256724,-0.2326432425065137,-0.0951914842813993,0.25062278594194043,0.2117718441455439,0.18517014588466407,-0.18959513037589956
sub-020,RW,0.14488758570761134,-0.09457543291518566,-0.1613168382079569,-0.03934082714897343,0.17364737391512636,0.18685101878529456,-0.07018949256142065,0.27338771823836344,-0.12923536281185488,-0.20305230750713435
sub-020,SD,0.1544837704484807,-0.21374890539542626,0.2538534594401656,0.13458936814167075,0.32942212479020094,0.35041566387362305,-0.13388198267876023,0.1274589339508343,-0.2725188787262268,0.09671175315905783
sub-021,RW,-0.11060885373111001,-0.08586574685813071,-0.06101357203859732,0.017004579914183863,0.13835213872331634,0.11538147597456053,-0.22340738862993884,0.2697601641570695,0.08187211570525478,-0.042198584082828595
sub-021,SD,-0.11182682871215759,-0.07336037217749736,0.10322839424264155,0.10864762733016937,0.11793612202187752,0.18633894907124654,-0.2364133268226224,0.17688693710467793,0.08430846957840037,-0.07118254504463119
sub-022,RW,0.10385172918787122,-0.08254519595071579,0.05131749304915471,0.0455417204803949,-0.0021633929878056186,0.05626771735797708,-0.11576720572406897,0.2255687709073821,-0.04723926637888102,-0.09766849653803486
sub-022,SD,0.17183928866983475,-0.16871506574061226,0.15615568090521317,-0.02731170667296506,0.04169913164283277,-0.07075054790256148,0.07042641945746916,0.018718669504973376,-0.10731626001532991,-0.059212639849582374
sub-023,RW,0.09761574349398214,-0.2794625310311499,0.3081599793528015,0.2673694070231417,0.3180518391036617,0.22005071312168611,-0.07617896675902171,-0.04959034943980138,-0.20663693124330634,0.22127016392691137
sub-023,SD,0.11774512710030705,-0.05271020782803233,0.0645749281212765,-0.23477839049010152,0.036423707154473906,0.0902343127201933,0.17044695336148843,-0.11498990569289341,-0.15790482000268424,0.12252811940798317
sub-024,RW,0.03127542923406,-0.152589686914076,0.0599503962006206,0.172175402594923,0.06709505020007013,0.06308982565120148,-0.1246294911861209,0.24147382846745918,0.02875406457983677,-0.3800033156738838
sub-024,SD,-0.20084857456755234,-0.24494236695590926,0.1359991904173903,0.16629430185414998,0.49549906990070103,0.30261406176041256,-0.3756762533645253,0.40794287275273206,-0.00405221530137708,0.154390277366433
sub-025,RW,-0.1449273039331427,0.31926405516491857,-0.09300823135571597,-0.13704326712448311,-0.5185539100127077,-0.39679400472847104,0.3572401236287073,-0.5754508909265188,0.3004205220724396,0.10218403997755675
sub-025,SD,-0.17396937551627628,-0.1951000722541135,0.26307277387128625,0.2934032905863493,0.13027498867917509,0.22219877564531532,-0.10189479885442845,-0.0850488138660942,0.05641488727536366,-0.1415953586258323
sub-026,RW,0.24960332146156142,-0.4132405249242535,0.15573543741557966,-0.15418583791700913,0.2307726737513041,0.12272011985947098,0.23760355891830628,0.22485775572306804,-0.24516065273276474,0.16326630293527603
sub-026,SD,-0.03884194256931175,-0.5210308163140464,0.34543843945150077,0.10770849273529744,0.31336295851376605,0.32007501752479084,-0.2819996968351756,0.5245787041232862,0.014808899388823281,-0.0033381011261119733
sub-027,RW,0.3194912043051041,-0.533633884381263,0.1561653366191318,-0.013022392398133513,0.4511594663669136,0.5106607026000911,-0.1729542117861293,0.43635555184581015,-0.2874268427033436,-0.34909629192997854
sub-027,SD,0.13986078691896395,-0.12323441312600385,0.08785693964148421,-0.05850963736171977,0.1412177774619469,0.20716956962990857,-0.10964992495306772,0.22877638934080882,-0.14486138052059916,-0.121477476956975
sub-028,RW,-0.029696117114992922,-0.28371236791856597,0.2783548453019835,0.44483373634578277,0.3545341182213728,0.37436747986138164,-0.40087758535215545,0.3126167187041939,-0.11664867329843,0.14073840893781003
sub-028,SD,-0.19709822000478922,-0.06084614219685248,0.037223975122141616,-0.10834282049049157,-0.010288653786699253,0.34700840509609127,-0.01701219997142131,0.31738628707623767,0.2505797940319275,-0.27130959780713865
sub-029,RW,0.10021930149382732,-0.09407772672942512,0.18387424637945426,0.3931953015977913,0.3073937080587269,0.4245374993154312,-0.33034463352660676,0.47866873547491356,-0.17645495258427077,-0.06602671787343606
sub-029,SD,-0.06903819421348617,-0.5576476339442253,0.21313529266118514,0.3448921972607914,0.5496497509510276,0.6357087625552672,-0.47132208044560925,0.6224117852012662,-0.1508536110664004,-0.17866453421646578
sub-030,RW,-0.22874610008888552,-0.2157387812567657,-0.05060880593285565,0.08250971405392858,0.020325411700444197,0.30468051663631157,-0.2109053459196201,0.27947318306820335,0.20961870276463188,-0.25709213428647
sub-030,SD,0.07688678525528246,-0.048597063563918894,0.18049936954704893,0.11971998790881241,0.1906221133635718,0.17683649737143298,-0.1446067625145697,0.10136257118301087,-0.13748587715299856,0.10662382643001503
