name,x.mni,y.mni,z.mni,lobe,hemi,index,gyrus,gyrus.full,subregion,subregion.full,Yeo_7network,Yeo_17network
PCL_R_2_2,5,-21,61,Frontal,R,68,PCL,Paracentral Lobule,A4ll,area 4 (lower limb region),Somatomotor,Somatomotor A
STG_L_6_1,-32,14,-34,Temporal,L,69,STG,Superior Temporal Gyrus,A38m,medial area 38,Limbic,Salience/VenAttn B
STG_R_6_1,31,15,-34,Temporal,R,70,STG,Superior Temporal Gyrus,A38m,medial area 38,Limbic,Salience/VenAttn B
STG_L_6_2,-54,-32,12,Temporal,L,71,STG,Superior Temporal Gyrus,A41/42,area 41/42,Somatomotor,Somatomotor B
STG_R_6_2,54,-24,11,Temporal,R,72,STG,Superior Temporal Gyrus,A41/42,area 41/42,Somatomotor,Somatomotor B
STG_L_6_3,-50,-11,1,Temporal,L,73,STG,Superior Temporal Gyrus,TE1.0/TE1.2,NA,Somatomotor,Somatomotor B
STG_R_6_3,51,-4,-1,Temporal,R,74,STG,Superior Temporal Gyrus,TE1.0/TE1.2,NA,Somatomotor,Somatomotor B
STG_L_6_4,-62,-33,7,Temporal,L,75,STG,Superior Temporal Gyrus,A22c,caudal area 22,Somatomotor,Default B
STG_R_6_4,66,-20,6,Temporal,R,76,STG,Superior Temporal Gyrus,A22c,caudal area 22,Somatomotor,Somatomotor B
STG_L_6_5,-45,11,-20,Temporal,L,77,STG,Superior Temporal Gyrus,A38l,lateral area 38,Limbic,Salience/VenAttn B
STG_R_6_5,47,12,-20,Temporal,R,78,STG,Superior Temporal Gyrus,A38l,lateral area 38,Limbic,Salience/VenAttn B
STG_L_6_6,-55,-3,-10,Temporal,L,79,STG,Superior Temporal Gyrus,A22r,rostral area 22,Default,Default B
STG_R_6_6,56,-12,-5,Temporal,R,80,STG,Superior Temporal Gyrus,A22r,rostral area 22,Default,Auditory
MTG_L_4_1,-65,-30,-12,Temporal,L,81,MTG,Middle Temporal Gyrus,A21c,caudal area 21,Default,Auditory
MTG_R_4_1,65,-29,-13,Temporal,R,82,MTG,Middle Temporal Gyrus,A21c,caudal area 21,Frontoparietal,Default A
MTG_L_4_2,-53,2,-30,Temporal,L,83,MTG,Middle Temporal Gyrus,A21r,rostral area 21,Default,Auditory
MTG_R_4_2,51,6,-32,Temporal,R,84,MTG,Middle Temporal Gyrus,A21r,rostral area 21,Default,Auditory
MTG_L_4_3,-59,-58,4,Temporal,L,85,MTG,Middle Temporal Gyrus,A37dl,dorsolateral area 37,Dorsal Attention,Dorsal Attention A
MTG_R_4_3,60,-53,3,Temporal,R,86,MTG,Middle Temporal Gyrus,A37dl,dorsolateral area 37,Dorsal Attention,Dorsal Attention A
MTG_L_4_4,-58,-20,-9,Temporal,L,87,MTG,Middle Temporal Gyrus,aSTS,anterior superior temporal sulcus,Default,Auditory
MTG_R_4_4,58,-16,-10,Temporal,R,88,MTG,Middle Temporal Gyrus,aSTS,anterior superior temporal sulcus,Default,Default B
ITG_L_7_1,-45,-26,-27,Temporal,L,89,ITG,Inferior Temporal Gyrus,A20iv,intermediate ventral area 20,Limbic,Salience/VenAttn B
ITG_R_7_1,46,-14,-33,Temporal,R,90,ITG,Inferior Temporal Gyrus,A20iv,intermediate ventral area 20,Limbic,Salience/VenAttn B
ITG_L_7_2,-51,-57,-15,Temporal,L,91,ITG,Inferior Temporal Gyrus,A37elv,extreme lateroventral area 37,Dorsal Attention,Temporal Parietal
ITG_R_7_2,53,-52,-18,Temporal,R,92,ITG,Inferior Temporal Gyrus,A37elv,extreme lateroventral area 37,Dorsal Attention,Temporal Parietal
ITG_L_7_3,-43,-2,-41,Temporal,L,93,ITG,Inferior Temporal Gyrus,A20r,rostral area 20,Limbic,Salience/VenAttn B
ITG_R_7_3,40,0,-43,Temporal,R,94,ITG,Inferior Temporal Gyrus,A20r,rostral area 20,Limbic,Salience/VenAttn B
ITG_L_7_4,-56,-16,-28,Temporal,L,95,ITG,Inferior Temporal Gyrus,A20il,intermediate lateral area 20,Default,Auditory
ITG_R_7_4,55,-11,-32,Temporal,R,96,ITG,Inferior Temporal Gyrus,A20il,intermediate lateral area 20,Limbic,Auditory
ITG_L_7_5,-55,-60,-6,Temporal,L,97,ITG,Inferior Temporal Gyrus,A37vl,ventrolateral area 37,Dorsal Attention,Control C
ITG_R_7_5,54,-57,-8,Temporal,R,98,ITG,Inferior Temporal Gyrus,A37vl,ventrolateral area 37,Dorsal Attention,Temporal Parietal
ITG_L_7_6,-59,-42,-16,Temporal,L,99,ITG,Inferior Temporal Gyrus,A20cl,caudolateral of area 20,Frontoparietal,Default A
ITG_R_7_6,61,-40,-17,Temporal,R,100,ITG,Inferior Temporal Gyrus,A20cl,caudolateral of area 20,Frontoparietal,Default A
ITG_L_7_7,-55,-31,-27,Temporal,L,101,ITG,Inferior Temporal Gyrus,A20cv,caudoventral of area 20,Limbic,Salience/VenAttn B
ITG_R_7_7,54,-31,-26,Temporal,R,102,ITG,Inferior Temporal Gyrus,A20cv,caudoventral of area 20,Limbic,Salience/VenAttn B
FuG_L_3_1,-33,-16,-32,Temporal,L,103,FuG,Fusiform Gyrus,A20rv,rostroventral area 20,Limbic,Salience/VenAttn B
FuG_R_3_1,33,-15,-34,Temporal,R,104,FuG,Fusiform Gyrus,A20rv,rostroventral area 20,Limbic,Salience/VenAttn B
FuG_L_3_2,-31,-64,-14,Temporal,L,105,FuG,Fusiform Gyrus,A37mv,medioventral area 37,Visual,Visual A
FuG_R_3_2,31,-62,-14,Temporal,R,106,FuG,Fusiform Gyrus,A37mv,medioventral area 37,Visual,Visual A
FuG_L_3_3,-42,-51,-17,Temporal,L,107,FuG,Fusiform Gyrus,A37lv,lateroventral area 37,Dorsal Attention,Temporal Parietal
FuG_R_3_3,43,-49,-19,Temporal,R,108,FuG,Fusiform Gyrus,A37lv,lateroventral area 37,Visual,Temporal Parietal
PhG_L_6_1,-27,-7,-34,Temporal,L,109,PhG,Parahippocampal Gyrus,A35/36r,rostral area 35/36,Limbic,Salience/VenAttn B
PhG_R_6_1,28,-8,-33,Temporal,R,110,PhG,Parahippocampal Gyrus,A35/36r,rostral area 35/36,Limbic,Salience/VenAttn B
PhG_L_6_2,-25,-25,-26,Temporal,L,111,PhG,Parahippocampal Gyrus,A35/36c,caudal area 35/36,Limbic,Default C
PhG_R_6_2,26,-23,-27,Temporal,R,112,PhG,Parahippocampal Gyrus,A35/36c,caudal area 35/36,Visual,Default C
PhG_L_6_3,-28,-32,-18,Temporal,L,113,PhG,Parahippocampal Gyrus,TL,area TL (lateral PPHC posterior parahippocampal gyrus),Visual,Default C
PhG_R_6_3,30,-30,-18,Temporal,R,114,PhG,Parahippocampal Gyrus,TL,area TL (lateral PPHC posterior parahippocampal gyrus),Visual,Default C
