,name,x.mni,y.mni,z.mni,lobe,hemi,index,gyrus,gyrus.full,subregion,subregion.full,Yeo_7network,Yeo_17network
43,OrG_L_6_2,-36,33,-16,Frontal,L,43,OrG,Orbital Gyrus,A12/47o,orbital area 12/47,Default,Auditory
44,OrG_R_6_2,40,39,-14,Frontal,R,44,OrG,Orbital Gyrus,A12/47o,orbital area 12/47,Default,Auditory
45,OrG_L_6_3,-23,38,-18,Frontal,L,45,OrG,Orbital Gyrus,A11l,lateral area 11,Limbic,Control A
46,OrG_R_6_3,23,36,-18,Frontal,R,46,OrG,Orbital Gyrus,A11l,lateral area 11,Frontoparietal,Control C
47,OrG_L_6_4,-6,52,-19,Frontal,L,47,OrG,Orbital Gyrus,A11m,medial area 11,Limbic,Control A
48,OrG_R_6_4,6,57,-16,Frontal,R,48,OrG,Orbital Gyrus,A11m,medial area 11,Limbic,Control A
49,OrG_L_6_5,-10,18,-19,Frontal,L,49,OrG,Orbital Gyrus,A13,area 13,Limbic,Control A
50,OrG_R_6_5,9,20,-19,Frontal,R,50,OrG,Orbital Gyrus,A13,area 13,Limbic,Control A
51,OrG_L_6_6,-41,32,-9,Frontal,L,51,OrG,Orbital Gyrus,A12/47l,lateral area 12/47,Default,Auditory
52,OrG_R_6_6,42,31,-9,Frontal,R,52,OrG,Orbital Gyrus,A12/47l,lateral area 12/47,Default,Auditory
53,PrG_L_6_1,-49,-8,39,Frontal,L,53,PrG,Precentral Gyrus,A4hf,area 4 (head and face region),Somatomotor,Somatomotor B
54,PrG_R_6_1,55,-2,33,Frontal,R,54,PrG,Precentral Gyrus,A4hf,area 4 (head and face region),Somatomotor,Somatomotor B
55,PrG_L_6_2,-32,-9,58,Frontal,L,55,PrG,Precentral Gyrus,A6cdl,caudal dorsolateral area 6,Dorsal Attention,Dorsal Attention A
56,PrG_R_6_2,33,-7,57,Frontal,R,56,PrG,Precentral Gyrus,A6cdl,caudal dorsolateral area 6,Dorsal Attention,Dorsal Attention A
57,PrG_L_6_3,-26,-25,63,Frontal,L,57,PrG,Precentral Gyrus,A4ul,area 4 (upper limb region),Somatomotor,Somatomotor A
58,PrG_R_6_3,34,-19,59,Frontal,R,58,PrG,Precentral Gyrus,A4ul,area 4 (upper limb region),Somatomotor,Somatomotor A
59,PrG_L_6_4,-13,-20,73,Frontal,L,59,PrG,Precentral Gyrus,A4t,area 4 (trunk region),Somatomotor,Somatomotor A
60,PrG_R_6_4,15,-22,71,Frontal,R,60,PrG,Precentral Gyrus,A4t,area 4 (trunk region),Somatomotor,Somatomotor A
61,PrG_L_6_5,-52,0,8,Frontal,L,61,PrG,Precentral Gyrus,A4tl,area 4 (tongue and larynx region),Ventral Attention,Dorsal Attention B
62,PrG_R_6_5,54,4,9,Frontal,R,62,PrG,Precentral Gyrus,A4tl,area 4 (tongue and larynx region),Ventral Attention,Dorsal Attention B
63,PrG_L_6_6,-49,5,30,Frontal,L,63,PrG,Precentral Gyrus,A6cvl,caudal ventrolateral area 6,Dorsal Attention,Control C
64,PrG_R_6_6,51,7,30,Frontal,R,64,PrG,Precentral Gyrus,A6cvl,caudal ventrolateral area 6,Dorsal Attention,Control C
65,PCL_L_2_1,-8,-38,58,Frontal,L,65,PCL,Paracentral Lobule,A1/2/3ll,area1/2/3 (lower limb region),Ventral Attention,Dorsal Attention B
66,PCL_R_2_1,10,-34,54,Frontal,R,66,PCL,Paracentral Lobule,A1/2/3ll,area1/2/3 (lower limb region),Somatomotor,Somatomotor A
67,PCL_L_2_2,-4,-23,61,Frontal,L,67,PCL,Paracentral Lobule,A4ll,area 4 (lower limb region),Somatomotor,Somatomotor A
68,PCL_R_2_2,5,-21,61,Frontal,R,68,PCL,Paracentral Lobule,A4ll,area 4 (lower limb region),Somatomotor,Somatomotor A
69,STG_L_6_1,-32,14,-34,Temporal,L,69,STG,Superior Temporal Gyrus,A38m,medial area 38,Limbic,Salience/VenAttn B
70,STG_R_6_1,31,15,-34,Temporal,R,70,STG,Superior Temporal Gyrus,A38m,medial area 38,Limbic,Salience/VenAttn B
71,STG_L_6_2,-54,-32,12,Temporal,L,71,STG,Superior Temporal Gyrus,A41/42,area 41/42,Somatomotor,Somatomotor B
72,STG_R_6_2,54,-24,11,Temporal,R,72,STG,Superior Temporal Gyrus,A41/42,area 41/42,Somatomotor,Somatomotor B
73,STG_L_6_3,-50,-11,1,Temporal,L,73,STG,Superior Temporal Gyrus,TE1.0/TE1.2,NA,Somatomotor,Somatomotor B
74,STG_R_6_3,51,-4,-1,Temporal,R,74,STG,Superior Temporal Gyrus,TE1.0/TE1.2,NA,Somatomotor,Somatomotor B
75,STG_L_6_4,-62,-33,7,Temporal,L,75,STG,Superior Temporal Gyrus,A22c,caudal area 22,Somatomotor,Default B
76,STG_R_6_4,66,-20,6,Temporal,R,76,STG,Superior Temporal Gyrus,A22c,caudal area 22,Somatomotor,Somatomotor B
77,STG_L_6_5,-45,11,-20,Temporal,L,77,STG,Superior Temporal Gyrus,A38l,lateral area 38,Limbic,Salience/VenAttn B
78,STG_R_6_5,47,12,-20,Temporal,R,78,STG,Superior Temporal Gyrus,A38l,lateral area 38,Limbic,Salience/VenAttn B
79,STG_L_6_6,-55,-3,-10,Temporal,L,79,STG,Superior Temporal Gyrus,A22r,rostral area 22,Default,Default B
