,roi_id,roi_name,tvs_value
152,153,ROI_153,0.020181469619274136
153,154,ROI_154,0.03987293690443039
154,155,ROI_155,0.10970475524663924
155,156,ROI_156,0.07076755166053772
156,157,ROI_157,-0.0044382112100720406
157,158,ROI_158,-0.012041636742651463
158,159,ROI_159,0.025484602898359295
159,160,ROI_160,0.008003121241927147
160,161,ROI_161,-0.08060913532972336
161,162,ROI_162,-0.04200460016727448
162,163,ROI_163,-0.004157412797212601
163,164,ROI_164,-0.03626549616456032
164,165,ROI_165,-0.014466377906501291
165,166,ROI_166,0.029566898941993717
166,167,ROI_167,-0.007715292274951936
167,168,ROI_168,-0.007677008397877216
168,169,ROI_169,0.005899608135223389
169,170,ROI_170,0.03992517665028572
170,171,ROI_171,-0.007818649522960186
171,172,ROI_172,0.00920283794403076
172,173,ROI_173,-0.004546031355857849
173,174,ROI_174,-0.010187867097556593
174,175,ROI_175,-0.0015841873828321695
175,176,ROI_176,0.03295207396149635
176,177,ROI_177,-0.020567351952195168
177,178,ROI_178,-0.00922957807779312
178,179,ROI_179,-0.01590927504003048
179,180,ROI_180,0.01371461059898138
180,181,ROI_181,-0.03234013170003891
181,182,ROI_182,-0.016025030985474586
182,183,ROI_183,-0.02648429572582245
183,184,ROI_184,-0.04109736904501914
184,185,ROI_185,-0.018819250166416168
185,186,ROI_186,0.010179350152611732
186,187,ROI_187,-0.04208944737911224
187,188,ROI_188,-0.05281452089548111
188,189,ROI_189,-0.04107576236128807
189,190,ROI_190,0.02799522690474987
190,191,ROI_191,-0.08318715542554854
191,192,ROI_192,-0.044929787516593926
192,193,ROI_193,-0.10035698860883711
193,194,ROI_194,-0.007767390459775923
194,195,ROI_195,-0.11836661398410796
195,196,ROI_196,-0.037972647696733475
196,197,ROI_197,-0.12931910157203674
197,198,ROI_198,-0.06682592630386353
198,199,ROI_199,-0.08317026495933533
199,200,ROI_200,0.004342941101640463
200,201,ROI_201,-0.12982302904129028
201,202,ROI_202,-0.05071328207850456
202,203,ROI_203,-0.03669941797852516
203,204,ROI_204,0.01718238741159439
204,205,ROI_205,-0.09814897179603577
205,206,ROI_206,0.016818059608340263
206,207,ROI_207,-0.09511386603116989
207,208,ROI_208,-0.0013800864107906818
208,209,ROI_209,-0.07169264554977417
209,210,ROI_210,0.03602541238069534
210,211,ROI_211,0.005366762634366752
211,212,ROI_212,0.009629837237298489
212,213,ROI_213,0.0002382496313657612
213,214,ROI_214,0.014821243472397327
214,215,ROI_215,-0.004607993643730879
215,216,ROI_216,0.003095676191151142
216,217,ROI_217,-0.014720925129950047
217,218,ROI_218,-0.004135952331125736
218,219,ROI_219,0.0241997204720974
219,220,ROI_220,0.03765440359711647
220,221,ROI_221,-0.01425762102007866
221,222,ROI_222,-0.008719638921320438
222,223,ROI_223,0.005586832296103239
223,224,ROI_224,0.011056654155254364
224,225,ROI_225,0.013657450675964355
225,226,ROI_226,0.007282034959644078
226,227,ROI_227,0.03267243131995201
227,228,ROI_228,0.01825562119483948
228,229,ROI_229,-0.01648435741662979
229,230,ROI_230,-0.009245943278074265
230,231,ROI_231,0.03433094918727875
231,232,ROI_232,0.0461733378469944
232,233,ROI_233,0.004517462570220232
233,234,ROI_234,0.0038789922837167974
234,235,ROI_235,0.006695352494716644
235,236,ROI_236,0.016143860295414925
236,237,ROI_237,0.10056163370609283
237,238,ROI_238,0.09492819756269456
238,239,ROI_239,0.014543847180902956
239,240,ROI_240,0.037966977804899216
240,241,ROI_241,0.0393555536866188
241,242,ROI_242,0.07036521285772324
242,243,ROI_243,0.05283689871430397
243,244,ROI_244,0.07200907170772552
244,245,ROI_245,0.014637541957199572
245,246,ROI_246,0.008638867177069187
