sub,session,marker,delta_value,delta_name
sub-013,SD,global_theta_mean_db,-1.5438102294547065,PVT_minus_CloseEye
sub-013,SD,n_epochs_total,28.0,PVT_minus_CloseEye
sub-013,SD,posterior_alpha_mean_db,-1.648473264442572,PVT_minus_CloseEye
sub-014,RW,global_theta_alpha_ratio_cv_linear,,PVT_minus_CloseEye
sub-014,RW,global_theta_alpha_ratio_mean_linear,,PVT_minus_CloseEye
sub-014,RW,global_theta_mean_db,,PVT_minus_CloseEye
sub-014,RW,n_epochs_total,,PVT_minus_CloseEye
sub-014,RW,posterior_alpha_mean_db,,PVT_minus_CloseEye
sub-014,SD,global_theta_alpha_ratio_cv_linear,-0.552833582386056,PVT_minus_CloseEye
sub-014,SD,global_theta_alpha_ratio_mean_linear,-0.3669324155321132,PVT_minus_CloseEye
sub-014,SD,global_theta_mean_db,-2.9177952772803337,PVT_minus_CloseEye
sub-014,SD,n_epochs_total,-221.0,PVT_minus_CloseEye
sub-014,SD,posterior_alpha_mean_db,-5.716942961541719,PVT_minus_CloseEye
sub-015,RW,global_theta_alpha_ratio_cv_linear,-0.7929313726170014,PVT_minus_CloseEye
sub-015,RW,global_theta_alpha_ratio_mean_linear,1.8003941010751894,PVT_minus_CloseEye
sub-015,RW,global_theta_mean_db,2.088516778415567,PVT_minus_CloseEye
sub-015,RW,n_epochs_total,-243.0,PVT_minus_CloseEye
sub-015,RW,posterior_alpha_mean_db,-13.273198883333208,PVT_minus_CloseEye
sub-015,SD,global_theta_alpha_ratio_cv_linear,0.32565651469415957,PVT_minus_CloseEye
sub-015,SD,global_theta_alpha_ratio_mean_linear,0.5202156495269132,PVT_minus_CloseEye
sub-015,SD,global_theta_mean_db,1.1324773092086673,PVT_minus_CloseEye
sub-015,SD,n_epochs_total,-182.0,PVT_minus_CloseEye
sub-015,SD,posterior_alpha_mean_db,-0.48708564553734846,PVT_minus_CloseEye
sub-016,RW,global_theta_alpha_ratio_cv_linear,-0.6325772253470228,PVT_minus_CloseEye
sub-016,RW,global_theta_alpha_ratio_mean_linear,1.1179529129192978,PVT_minus_CloseEye
sub-016,RW,global_theta_mean_db,1.5376767296834686,PVT_minus_CloseEye
sub-016,RW,n_epochs_total,-175.0,PVT_minus_CloseEye
sub-016,RW,posterior_alpha_mean_db,-9.762193857603677,PVT_minus_CloseEye
sub-016,SD,global_theta_alpha_ratio_cv_linear,,PVT_minus_CloseEye
sub-016,SD,global_theta_alpha_ratio_mean_linear,-0.5799378849725179,PVT_minus_CloseEye
sub-016,SD,global_theta_mean_db,0.7870227798858878,PVT_minus_CloseEye
sub-016,SD,n_epochs_total,-52.0,PVT_minus_CloseEye
sub-016,SD,posterior_alpha_mean_db,2.070486223343096,PVT_minus_CloseEye
sub-017,RW,global_theta_alpha_ratio_cv_linear,0.2349630123051858,PVT_minus_CloseEye
sub-017,RW,global_theta_alpha_ratio_mean_linear,1.3632498633575094,PVT_minus_CloseEye
sub-017,RW,global_theta_mean_db,-5.96133704256637,PVT_minus_CloseEye
sub-017,RW,n_epochs_total,-414.0,PVT_minus_CloseEye
sub-017,RW,posterior_alpha_mean_db,-13.71768775797851,PVT_minus_CloseEye
