feature,r
LDA200_abstract_weight__11_cognitive_function_performance,0.0997017
terms_abstract_tfidf__thoughts,0.09966371
terms_abstract_tfidf__aged,0.099433534
terms_abstract_tfidf__tone,0.09937391
terms_abstract_tfidf__disturbed,0.09905438
terms_abstract_tfidf__bayesian,0.09905352
LDA400_abstract_weight__299_memory_working_verbal,0.09866574
terms_abstract_tfidf__internally,0.09855456
terms_abstract_tfidf__greater extent,0.09854094
terms_abstract_tfidf__lesion,0.09818039
terms_abstract_tfidf__tapping,0.098052464
terms_abstract_tfidf__task positive,0.09797481
terms_abstract_tfidf__finger tapping,0.09785551
terms_abstract_tfidf__multiple sclerosis,0.09777525
terms_abstract_tfidf__behaviors,0.0977566
terms_abstract_tfidf__ifg,0.09775411
terms_abstract_tfidf__expressed,0.0977289
terms_abstract_tfidf__executive,0.097339116
terms_abstract_tfidf__motor pre,0.09672336
terms_abstract_tfidf__memory tasks,0.095566556
terms_abstract_tfidf__discussed,0.095562056
terms_abstract_tfidf__sd,0.09547865
terms_abstract_tfidf__supramarginal gyrus,0.09537637
terms_abstract_tfidf__prefrontal,0.09527867
terms_abstract_tfidf__successive,0.09523867
terms_abstract_tfidf__correlates,0.09514429
LDA400_abstract_weight__120_verbal_fluency_task,0.095105454
terms_abstract_tfidf__aspects,0.0950965
terms_abstract_tfidf__sentence comprehension,0.095063165
terms_abstract_tfidf__control,0.09483694
terms_abstract_tfidf__lateral parietal,0.0947796
terms_abstract_tfidf__version,0.09450924
terms_abstract_tfidf__middle,0.09442995
LDA100_abstract_weight__45_memory_working_wm,0.09436109
terms_abstract_tfidf__paradigms,0.094189316
terms_abstract_tfidf__typically,0.09416187
terms_abstract_tfidf__feedback,0.0938462
terms_abstract_tfidf__compensation,0.09375156
terms_abstract_tfidf__maintenance,0.09346371
LDA400_abstract_weight__217_tms_stimulation_magnetic,0.09335079
terms_abstract_tfidf__intra,0.093247496
terms_abstract_tfidf__41,0.09308409
LDA200_abstract_weight__45_gyrus_frontal_inferior,0.0928991
terms_abstract_tfidf__externally,0.09284097
terms_abstract_tfidf__prefrontal cortices,0.092511155
terms_abstract_tfidf__persons,0.092502356
terms_abstract_tfidf__probability,0.0924546
terms_abstract_tfidf__assumption,0.09218839
terms_abstract_tfidf__random effects,0.09212772
terms_abstract_tfidf__fine,0.092105106
terms_abstract_tfidf__signal,0.09200742
LDA400_abstract_weight__221_systems_correlates_linked,0.09196332
LDA200_abstract_weight__135_basal_ganglia_moral,0.09139327
terms_abstract_tfidf__social cognition,0.09080326
terms_abstract_tfidf__disentangle,0.090524
terms_abstract_tfidf__pre,0.09051759
LDA200_abstract_weight__119_dlpfc_prefrontal_cortex,0.09043123
terms_abstract_tfidf__consisted,0.090407856
terms_abstract_tfidf__mentalizing,0.09008457
LDA400_abstract_weight__284_language_english_native,0.0899797
terms_abstract_tfidf__measuring,0.089978695
terms_abstract_tfidf__demand,0.089937136
terms_abstract_tfidf__effortful,0.08980984
terms_abstract_tfidf__ventrolateral,0.089736894
terms_abstract_tfidf__core,0.089584425
terms_abstract_tfidf__ganglia,0.089304514
terms_abstract_tfidf__slower,0.089138806
terms_abstract_tfidf__opercular,0.08911799
terms_abstract_tfidf__systems,0.08909056
terms_abstract_tfidf__essential,0.089045554
terms_abstract_tfidf__suggested,0.08901497
terms_abstract_tfidf__response selection,0.08883046
terms_abstract_tfidf__english,0.08834613
LDA200_abstract_weight__52_control_cognitive_task,0.08827205
terms_abstract_tfidf__temporal inferior,0.088256754
terms_abstract_tfidf__eighteen,0.08823034
terms_abstract_tfidf__biomarker,0.08821351
terms_abstract_tfidf__producing,0.08794258
terms_abstract_tfidf__imply,0.08789551
terms_abstract_tfidf__aphasia,0.087885804
terms_abstract_tfidf__facilitation,0.087736666
terms_abstract_tfidf__magnetic stimulation,0.087709494
terms_abstract_tfidf__continuous,0.087609425
terms_abstract_tfidf__hypothesize,0.087554626
terms_abstract_tfidf__length,0.08751071
terms_abstract_tfidf__networks involved,0.087383896
terms_abstract_tfidf__far,0.087296255
LDA200_abstract_weight__47_parietal_network_fronto,0.08717788
terms_abstract_tfidf__accuracy,0.08713898
terms_abstract_tfidf__processes,0.08709367
terms_abstract_tfidf__basal ganglia,0.087069124
LDA200_abstract_weight__99_detection_novelty_oddball,0.087027706
terms_abstract_tfidf__verbs,0.08683787
terms_abstract_tfidf__tms,0.08679371
terms_abstract_tfidf__transcranial magnetic,0.08666336
terms_abstract_tfidf__cortex dlpfc,0.08660706
terms_abstract_tfidf__differed,0.08660025
LDA400_abstract_weight__128_problem_problems_arithmetic,0.086432815
terms_abstract_tfidf__rehearsal,0.08622045
terms_abstract_tfidf__paced,0.086201996
LDA400_abstract_weight__327_basal_ganglia_thalamus,0.08619048
terms_abstract_tfidf__anterior insula,0.086162865
terms_abstract_tfidf__verbal working,0.08613266
terms_abstract_tfidf__iq,0.08612498
LDA200_abstract_weight__3_task_switching_set,0.0861099
terms_abstract_tfidf__causality,0.086067505
terms_abstract_tfidf__experiencing,0.08601447
terms_abstract_tfidf__frontal temporal,0.08573728
terms_abstract_tfidf__hearing,0.08573431
terms_abstract_tfidf__work,0.0856414
terms_abstract_tfidf__motor task,0.08562453
terms_abstract_tfidf__empathy,0.085486844
terms_abstract_tfidf__oral,0.085425675
LDA400_abstract_weight__246_interaction_ppi_psychophysiological,0.08525471
terms_abstract_tfidf__frontal operculum,0.085150085
LDA100_abstract_weight__71_reasoning_mind_mental,0.084697045
terms_abstract_tfidf__behaviour,0.08459127
LDA50_abstract_weight__37_language_reading_word,0.08459073
terms_abstract_tfidf__problem,0.08456155
LDA100_abstract_weight__29_integration_human_order,0.084482566
terms_abstract_tfidf__task task,0.08440763
terms_abstract_tfidf__task,0.08438036
terms_abstract_tfidf__anterior temporal,0.08433193
terms_abstract_tfidf__monitoring,0.08433073
terms_abstract_tfidf__emergence,0.08429565
terms_abstract_tfidf__provide new,0.084232196
terms_abstract_tfidf__implications understanding,0.084059045
terms_abstract_tfidf__german,0.08385886
terms_abstract_tfidf__valid,0.08360299
terms_abstract_tfidf__performance,0.08337298
terms_abstract_tfidf__wm task,0.083348826
terms_abstract_tfidf__moral,0.08308042
