feature,r
LDA200_abstract_weight__177_mood_rumination_induction,0.0016070287
terms_abstract_tfidf__embedded,0.0015936039
terms_abstract_tfidf__negative correlations,0.0015593028
terms_abstract_tfidf__hemodynamic responses,0.0015552519
terms_abstract_tfidf__non,0.0015110334
LDA400_abstract_weight__144_decision_making_choice,0.0014651784
LDA400_abstract_weight__151_loss_gain_losses,0.0014131024
terms_abstract_tfidf__female,0.0013873182
terms_abstract_tfidf__roi,0.0013528962
LDA400_abstract_weight__182_early_stage_stages,0.0012053583
terms_abstract_tfidf__adolescence,0.00113182
LDA200_abstract_weight__136_white_matter_tensor,0.0011304271
terms_abstract_tfidf__perceived,0.0011168369
terms_abstract_tfidf__cost,0.0010964302
terms_abstract_tfidf__disorder ocd,0.0010762806
terms_abstract_tfidf__skills,0.0010455751
terms_abstract_tfidf__automatic,0.0010434634
terms_abstract_tfidf__numerical,0.000997531
terms_abstract_tfidf__dyslexia,0.0009239506
terms_abstract_tfidf__diverse,0.0008772637
terms_abstract_tfidf__preferences,0.00085381576
terms_abstract_tfidf__dorsal attention,0.0008220607
terms_abstract_tfidf__corresponding,0.00081238226
terms_abstract_tfidf__reading,0.00074461265
terms_abstract_tfidf__focusing,0.0007437233
LDA100_abstract_weight__2_model_approach_method,0.0007292609
terms_abstract_tfidf__regional gray,0.00071263284
terms_abstract_tfidf__convergence,0.00069922575
terms_abstract_tfidf__directly,0.00067355065
terms_abstract_tfidf__substance,0.00065579836
terms_abstract_tfidf__subregions,0.00064325583
terms_abstract_tfidf__distribution,0.00063586875
terms_abstract_tfidf__facilitate,0.0006239464
LDA200_abstract_weight__22_stroke_recovery_aphasia,0.00058612175
terms_abstract_tfidf__randomly,0.00057085016
terms_abstract_tfidf__rate,0.00056043576
terms_abstract_tfidf__men women,0.0005278916
terms_abstract_tfidf__amygdala hippocampus,0.0005039226
LDA400_abstract_weight__4_mood_affective_induction,0.0004370839
terms_abstract_tfidf__little,0.00041786814
terms_abstract_tfidf__positive,0.00035685883
terms_abstract_tfidf__judgments,0.000304256
terms_abstract_tfidf__thirteen,0.00029181276
terms_abstract_tfidf__young older,0.00023869677
terms_abstract_tfidf__remote,0.00017383303
terms_abstract_tfidf__follow,0.00015983424
terms_abstract_tfidf__orienting,0.00013168385
LDA200_abstract_weight__75_asd_autism_group,0.00012214892
terms_abstract_tfidf__exists,0.00010007109
LDA200_abstract_weight__79_training_practice_trained,9.613045e-05
terms_abstract_tfidf__components,6.828662e-05
terms_abstract_tfidf__algorithm,4.346482e-05
terms_abstract_tfidf__inter individual,-1.5269321e-05
terms_abstract_tfidf__beneficial,-1.626746e-05
terms_abstract_tfidf__cohort,-4.58833e-05
terms_abstract_tfidf__fourteen,-0.00010934319
LDA50_abstract_weight__4_stimulus_time_repetition,-0.00012289349
terms_abstract_tfidf__ms,-0.00016398473
terms_abstract_tfidf__decision,-0.00021522916
terms_abstract_tfidf__middle cingulate,-0.00025761258
LDA100_abstract_weight__3_individual_variability_level,-0.00026996704
terms_abstract_tfidf__differs,-0.00027176173
terms_abstract_tfidf__risk,-0.000326685
terms_abstract_tfidf__correspondence,-0.00035110602
LDA100_abstract_weight__69_pain_painful_stimulation,-0.00035382592
terms_abstract_tfidf__using functional,-0.00042448952
terms_abstract_tfidf__temporal lobes,-0.0004516485
terms_abstract_tfidf__causal,-0.00059035385
terms_abstract_tfidf__produced,-0.00060796307
terms_abstract_tfidf__action,-0.0006085336
terms_abstract_tfidf__incentive,-0.00061673723
terms_abstract_tfidf__demanding,-0.0006206126
terms_abstract_tfidf__containing,-0.00063996436
terms_abstract_tfidf__asked,-0.00065372215
terms_abstract_tfidf__meaningful,-0.00067422213
terms_abstract_tfidf__compulsive,-0.0006808991
LDA100_abstract_weight__46_stimulation_tms_acupuncture,-0.00069185963
terms_abstract_tfidf__clinically,-0.00070830743
terms_abstract_tfidf__intrinsic functional,-0.00074664375
terms_abstract_tfidf__brainstem,-0.00075923547
terms_abstract_tfidf__performances,-0.00076170516
terms_abstract_tfidf__retrieved,-0.0007739041
LDA400_abstract_weight__312_placebo_mg_blind,-0.0008353605
LDA400_abstract_weight__3_individuals_resonance_magnetic,-0.0008618782
terms_abstract_tfidf__lesser,-0.00086433755
LDA400_abstract_weight__323_cerebral_ataxia_sca,-0.00089289725
LDA200_abstract_weight__174_type_joint_sa,-0.0008939538
terms_abstract_tfidf__allocation,-0.00094606675
terms_abstract_tfidf__spinal,-0.0009763881
terms_abstract_tfidf__likely,-0.0010123493
terms_abstract_tfidf__trigger,-0.0010798911
terms_abstract_tfidf__similarities,-0.0010808295
terms_abstract_tfidf__aberrant,-0.0010828133
terms_abstract_tfidf__nature,-0.001090639
LDA400_abstract_weight__31_stimulus_response_type,-0.00113614
terms_abstract_tfidf__variety,-0.0012018617
terms_abstract_tfidf__indicate,-0.0012113944
terms_abstract_tfidf__game,-0.0013236752
terms_abstract_tfidf__obsessive,-0.0013474092
terms_abstract_tfidf__coupled,-0.0013774106
terms_abstract_tfidf__smaller,-0.0014018547
terms_abstract_tfidf__time points,-0.0014036094
terms_abstract_tfidf__functional connectivity,-0.0014162104
terms_abstract_tfidf__200,-0.0014220851
terms_abstract_tfidf__thalamic,-0.0014337533
terms_abstract_tfidf__dmpfc,-0.0014362606
terms_abstract_tfidf__coupling,-0.0014516056
terms_abstract_tfidf__iv,-0.0015345358
terms_abstract_tfidf__anterior insular,-0.001573317
terms_abstract_tfidf__fronto striatal,-0.0016640167
terms_abstract_tfidf__date,-0.0017142463
terms_abstract_tfidf__psychological,-0.0017594958
terms_abstract_tfidf__scanner,-0.001762948
terms_abstract_tfidf__simply,-0.0017966264
terms_abstract_tfidf__cases,-0.0017986387
terms_abstract_tfidf__impact,-0.0018368447
terms_abstract_tfidf__assessed using,-0.0018578301
terms_abstract_tfidf__mnemonic,-0.0019002918
terms_abstract_tfidf__lobe,-0.0019529727
terms_abstract_tfidf__hierarchy,-0.0020408446
terms_abstract_tfidf__simulation,-0.0021426622
terms_abstract_tfidf__degree,-0.002257769
terms_abstract_tfidf__idea,-0.002284212
terms_abstract_tfidf__connectivity,-0.0023018608
LDA100_abstract_weight__63_insula_anterior_autonomic,-0.0023690606
terms_abstract_tfidf__value,-0.0024527824
terms_abstract_tfidf__painful,-0.0024554376
terms_abstract_tfidf__latencies,-0.0025344659
LDA100_abstract_weight__21_reading_words_word,-0.0025502425
LDA400_abstract_weight__203_resonance_magnetic_control,-0.0025855557
terms_abstract_tfidf__utilized,-0.002589085
terms_abstract_tfidf__trait,-0.002591808
terms_abstract_tfidf__state,-0.002606867
terms_abstract_tfidf__shifts,-0.0028245102
terms_abstract_tfidf__dementia,-0.0028313696
terms_abstract_tfidf__earlier,-0.0028372009
terms_abstract_tfidf__amygdala,-0.0028382768
terms_abstract_tfidf__contralateral,-0.0029264807
terms_abstract_tfidf__challenges,-0.0029924258
terms_abstract_tfidf__environments,-0.0029984426
terms_abstract_tfidf__datasets,-0.003087505
terms_abstract_tfidf__cortex dmpfc,-0.0031149222
LDA100_abstract_weight__84_children_adolescents_age,-0.0031151676
terms_abstract_tfidf__psychotic,-0.0031911754
terms_abstract_tfidf__pain,-0.0032065525
terms_abstract_tfidf__pleasant,-0.003276515
terms_abstract_tfidf__consists,-0.003433212
LDA100_abstract_weight__56_response_stimulus_trials,-0.0035029524
terms_abstract_tfidf__responses,-0.0036321813
terms_abstract_tfidf__larger,-0.003657988
terms_abstract_tfidf__occurs,-0.0037280782
LDA400_abstract_weight__164_incompatible_compatibility_tmt,-0.0037394003
terms_abstract_tfidf__arterial spin,-0.003779229
terms_abstract_tfidf__disability,-0.0037982638
terms_abstract_tfidf__covariance,-0.0038179336
terms_abstract_tfidf__obsessive compulsive,-0.003838607
terms_abstract_tfidf__recognition memory,-0.003843346
terms_abstract_tfidf__allows,-0.0038834673
terms_abstract_tfidf__developmental,-0.0039080116
terms_abstract_tfidf__treatment,-0.004004749
terms_abstract_tfidf__underlie,-0.004037068
terms_abstract_tfidf__heart,-0.0041426145
terms_abstract_tfidf__undergoing functional,-0.004158944
terms_abstract_tfidf__completely,-0.004171636
terms_abstract_tfidf__hemodynamic,-0.0041978676
terms_abstract_tfidf__serve,-0.0042045787
terms_abstract_tfidf__psychophysiological interaction,-0.0042082677
LDA200_abstract_weight__39_light_shed_alertness,-0.004251038
terms_abstract_tfidf__genotype,-0.0042883516
terms_abstract_tfidf__primary secondary,-0.004426819
terms_abstract_tfidf__resonance,-0.0044339593
terms_abstract_tfidf__obtain,-0.00444931
terms_abstract_tfidf__exhibited,-0.0044879895
terms_abstract_tfidf__linked,-0.004495514
terms_abstract_tfidf__frontal lobes,-0.004501507
terms_abstract_tfidf__dynamic causal,-0.0045272545
terms_abstract_tfidf__provide evidence,-0.004578555
terms_abstract_tfidf__predictive,-0.0045892927
terms_abstract_tfidf__cortical network,-0.004676604
LDA400_abstract_weight__216_frontal_inferior_gyrus,-0.004695312
LDA400_abstract_weight__372_group_control_individuals,-0.0046958574
terms_abstract_tfidf__factors,-0.004726674
terms_abstract_tfidf__diffusion tensor,-0.004750151
terms_abstract_tfidf__gyrus anterior,-0.0047804867
terms_abstract_tfidf__frequency,-0.0047956267
terms_abstract_tfidf__observing,-0.0048233564
terms_abstract_tfidf__periods,-0.00483447
terms_abstract_tfidf__expectations,-0.004837403
terms_abstract_tfidf__plays important,-0.004841245
LDA400_abstract_weight__17_pain_painful_chronic,-0.0048970617
terms_abstract_tfidf__current,-0.00498449
terms_abstract_tfidf__negativity,-0.005017141
terms_abstract_tfidf__varies,-0.0050298627
LDA200_abstract_weight__146_pain_painful_chronic,-0.005074433
terms_abstract_tfidf__70,-0.005104121
terms_abstract_tfidf__session,-0.005116925
LDA200_abstract_weight__16_ad_disease_mci,-0.0051475563
terms_abstract_tfidf__interacting,-0.0052396907
terms_abstract_tfidf__options,-0.0052415365
terms_abstract_tfidf__recordings,-0.0052651362
terms_abstract_tfidf__mesolimbic,-0.005292797
terms_abstract_tfidf__numerous,-0.0053136935
terms_abstract_tfidf__diffusion,-0.0053402
LDA400_abstract_weight__351_symptoms_severity_scores,-0.0053686765
LDA200_abstract_weight__67_adolescents_adolescent_age,-0.0053863525
terms_abstract_tfidf__suggests,-0.0054562236
terms_abstract_tfidf__regardless,-0.005466242
terms_abstract_tfidf__healthy young,-0.005491447
terms_abstract_tfidf__men,-0.0055745807
terms_abstract_tfidf__manner,-0.0056061856
LDA400_abstract_weight__224_limbic_amygdala_paralimbic,-0.0056371964
terms_abstract_tfidf__decreasing,-0.005658631
terms_abstract_tfidf__tensor,-0.005660634
terms_abstract_tfidf__properties,-0.0056628464
terms_abstract_tfidf__multivariate pattern,-0.0056815865
LDA400_abstract_weight__70_mpfc_medial_prefrontal,-0.005706213
terms_abstract_tfidf__magnetic resonance,-0.005732391
terms_abstract_tfidf__pronounced,-0.0057943435
terms_abstract_tfidf__modulates,-0.0058159386
terms_abstract_tfidf__severity,-0.0058803624
terms_abstract_tfidf__validated,-0.0058840527
terms_abstract_tfidf__reward,-0.005904859
terms_abstract_tfidf__cortex acc,-0.005928019
terms_abstract_tfidf__provide novel,-0.0059480458
terms_abstract_tfidf__mirror neuron,-0.0060114595
LDA400_abstract_weight__185_maps_space_template,-0.006034881
terms_abstract_tfidf__imitation,-0.0060371202
terms_abstract_tfidf__hand movements,-0.006087416
terms_abstract_tfidf__emotional information,-0.0061102104
terms_abstract_tfidf__45,-0.006163131
terms_abstract_tfidf__targets,-0.0062336405
terms_abstract_tfidf__expectation,-0.0063323844
terms_abstract_tfidf__heart rate,-0.0063375393
terms_abstract_tfidf__delayed,-0.006394178
terms_abstract_tfidf__group,-0.006403637
terms_abstract_tfidf__major,-0.0064050783
terms_abstract_tfidf__transition,-0.006432254
terms_abstract_tfidf__improved,-0.006446289
terms_abstract_tfidf__50,-0.006448593
terms_abstract_tfidf__arterial,-0.0064517045
terms_abstract_tfidf__studying,-0.006460715
terms_abstract_tfidf__connectivity posterior,-0.0064655454
LDA400_abstract_weight__330_salience_network_sn,-0.0065591675
terms_abstract_tfidf__autism spectrum,-0.0065643145
LDA400_abstract_weight__158_significance_principal_methodology,-0.0066883103
terms_abstract_tfidf__medial superior,-0.0066932985
LDA400_abstract_weight__343_light_shed_impact,-0.0067150295
terms_abstract_tfidf__mesial,-0.006825822
terms_abstract_tfidf__spatially,-0.006844968
terms_abstract_tfidf__invariant,-0.0068697766
terms_abstract_tfidf__revealing,-0.0068838145
terms_abstract_tfidf__hc,-0.0069442294
terms_abstract_tfidf__valuable,-0.006993563
terms_abstract_tfidf__term,-0.007025101
terms_abstract_tfidf__rates,-0.0071235425
LDA100_abstract_weight__40_ad_disease_mci,-0.007155764
LDA400_abstract_weight__307_experience_subjective_experiences,-0.0071750926
LDA200_abstract_weight__57_learning_learned_sequence,-0.0071811634
terms_abstract_tfidf__depressed,-0.007251785
terms_abstract_tfidf__spectrum disorder,-0.0072980635
LDA400_abstract_weight__219_sd_pupil_exception,-0.0073385243
terms_abstract_tfidf__having,-0.0073429095
terms_abstract_tfidf__neuron,-0.0073858737
LDA400_abstract_weight__124_cerebellar_cerebellum_ii,-0.0074406895
terms_abstract_tfidf__community,-0.0074767806
terms_abstract_tfidf__tactile,-0.0074787806
terms_abstract_tfidf__streams,-0.007532075
terms_abstract_tfidf__despite,-0.0075601656
terms_abstract_tfidf__intrinsic,-0.007569379
LDA400_abstract_weight__215_dopamine_da_receptor,-0.0075890846
terms_abstract_tfidf__growing,-0.0078720655
terms_abstract_tfidf__superior inferior,-0.007874017
terms_abstract_tfidf__state networks,-0.007915106
terms_abstract_tfidf__use,-0.007934342
terms_abstract_tfidf__noted,-0.007958241
terms_abstract_tfidf__negative neutral,-0.0080021275
LDA200_abstract_weight__105_mdd_depressive_depression,-0.008028414
terms_abstract_tfidf__attenuated,-0.008071407
LDA100_abstract_weight__1_gyrus_frontal_middle,-0.008112338
LDA400_abstract_weight__63_negative_positive_valence,-0.008119359
terms_abstract_tfidf__engaging,-0.008120249
terms_abstract_tfidf__functional network,-0.008248883
terms_abstract_tfidf__ratings,-0.008318125
LDA400_abstract_weight__52_pd_disease_parkinson,-0.008352916
terms_abstract_tfidf__labeling,-0.008389824
LDA400_abstract_weight__39_dmpfc_balance_dorsomedial,-0.008436859
terms_abstract_tfidf__chronic,-0.008487122
terms_abstract_tfidf__structures involved,-0.008513197
LDA400_abstract_weight__190_outcome_born_outcomes,-0.00858723
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.008607087
terms_abstract_tfidf__flexible,-0.008641164
terms_abstract_tfidf__posterior anterior,-0.008683334
LDA400_abstract_weight__198_ad_mci_disease,-0.008776527
terms_abstract_tfidf__alteration,-0.008822215
terms_abstract_tfidf__dorsal striatum,-0.008944631
terms_abstract_tfidf__susceptibility,-0.008978292
LDA200_abstract_weight__157_somatosensory_stimulation_cortex,-0.009004365
terms_abstract_tfidf__sign,-0.009006084
terms_abstract_tfidf__actually,-0.009040915
terms_abstract_tfidf__depend,-0.009059435
terms_abstract_tfidf__elderly,-0.009102097
terms_abstract_tfidf__established,-0.009153941
terms_abstract_tfidf__investigation,-0.009162935
terms_abstract_tfidf__executive control,-0.009167443
terms_abstract_tfidf__cerebral,-0.009300083
terms_abstract_tfidf__preferentially,-0.0093036
terms_abstract_tfidf__distinguish,-0.009303901
terms_abstract_tfidf__decoding,-0.009313194
LDA200_abstract_weight__56_placebo_mg_ht,-0.009320723
terms_abstract_tfidf__trajectories,-0.00939873
terms_abstract_tfidf__believed,-0.009439679
terms_abstract_tfidf__salient,-0.0094603915
LDA400_abstract_weight__61_recall_digit_span,-0.009479769
terms_abstract_tfidf__procedures,-0.009510777
terms_abstract_tfidf__derived,-0.009518073
terms_abstract_tfidf__monetary incentive,-0.009548881
LDA400_abstract_weight__113_spatial_method_subject,-0.009554982
terms_abstract_tfidf__dose,-0.009656892
terms_abstract_tfidf__allowing,-0.009659999
terms_abstract_tfidf__weighted,-0.009726653
terms_abstract_tfidf__16,-0.009786376
terms_abstract_tfidf__tracts,-0.009839964
terms_abstract_tfidf__placebo,-0.009896105
LDA400_abstract_weight__122_modulation_modulated_modulate,-0.009915524
terms_abstract_tfidf__sessions,-0.010019458
terms_abstract_tfidf__relations,-0.01002538
terms_abstract_tfidf__illness,-0.010079068
LDA400_abstract_weight__303_rs_pa_hyperalgesia,-0.010155071
terms_abstract_tfidf__economic,-0.010205129
terms_abstract_tfidf__positively,-0.010237864
terms_abstract_tfidf__anticipatory,-0.010269741
terms_abstract_tfidf__preparation,-0.010320936
terms_abstract_tfidf__scale,-0.010355858
terms_abstract_tfidf__propose,-0.010467325
terms_abstract_tfidf__longitudinal,-0.010534693
terms_abstract_tfidf__diminished,-0.010565692
terms_abstract_tfidf__comprehensive,-0.010728229
terms_abstract_tfidf__costs,-0.010763455
terms_abstract_tfidf__hand,-0.0107774995
terms_abstract_tfidf__stage,-0.010778562
terms_abstract_tfidf__physiological,-0.01083871
LDA400_abstract_weight__84_real_world_nf,-0.010841639
terms_abstract_tfidf__evoked,-0.01110853
terms_abstract_tfidf__electrical,-0.011231627
terms_abstract_tfidf__cortex dorsolateral,-0.011287892
terms_abstract_tfidf__investigating,-0.011292293
terms_abstract_tfidf__thought,-0.011295666
terms_abstract_tfidf__construct,-0.011356168
terms_abstract_tfidf__abnormality,-0.011383846
terms_abstract_tfidf__perfusion,-0.011523063
terms_abstract_tfidf__imagined,-0.011656037
LDA400_abstract_weight__359_goal_goals_ma,-0.011680016
terms_abstract_tfidf__actions,-0.01169707
terms_abstract_tfidf__using,-0.011727193
terms_abstract_tfidf__utility,-0.011734521
LDA400_abstract_weight__252_relational_strength_strong,-0.011748524
terms_abstract_tfidf__goals,-0.011821786
terms_abstract_tfidf__scanning,-0.011994261
terms_abstract_tfidf__sham,-0.012030419
terms_abstract_tfidf__extracted,-0.012041861
terms_abstract_tfidf__age gender,-0.012044668
terms_abstract_tfidf__track,-0.012088846
terms_abstract_tfidf__reduction,-0.012091406
terms_abstract_tfidf__hemodynamic response,-0.012124175
LDA400_abstract_weight__167_state_resting_seed,-0.01214911
terms_abstract_tfidf__neuronal,-0.0121725015
terms_abstract_tfidf__alterations,-0.012236524
terms_abstract_tfidf__visual auditory,-0.012289691
terms_abstract_tfidf__requirements,-0.012334898
terms_abstract_tfidf__control groups,-0.012365933
LDA400_abstract_weight__325_intelligence_md_fluid,-0.0123732705
terms_abstract_tfidf__greatest,-0.012381981
terms_abstract_tfidf__multivariate,-0.012404906
terms_abstract_tfidf__applying,-0.012444285
LDA100_abstract_weight__30_emotional_negative_positive,-0.012479311
LDA200_abstract_weight__28_memory_retrieval_episodic,-0.012595091
terms_abstract_tfidf__treatments,-0.012613347
terms_abstract_tfidf__elucidated,-0.012697568
terms_abstract_tfidf__fact,-0.012738794
terms_abstract_tfidf__eeg,-0.012755575
terms_abstract_tfidf__novelty,-0.012755953
terms_abstract_tfidf__rarely,-0.012819401
terms_abstract_tfidf__blood flow,-0.012828701
terms_abstract_tfidf__disease,-0.0128725385
LDA400_abstract_weight__371_search_lifg_frontal,-0.012908124
terms_abstract_tfidf__conventional,-0.012918318
terms_abstract_tfidf__theoretical,-0.012956419
terms_abstract_tfidf__majority,-0.012966468
LDA400_abstract_weight__389_intrinsic_extrinsic_hp,-0.012977553
LDA400_abstract_weight__370_acc_cingulate_anterior,-0.013006239
terms_abstract_tfidf__replicated,-0.01301759
terms_abstract_tfidf__young healthy,-0.013100243
terms_abstract_tfidf__sexual,-0.013127928
terms_abstract_tfidf__repetition suppression,-0.013149945
LDA400_abstract_weight__12_structures_pattern_contrast,-0.013213023
terms_abstract_tfidf__sensorimotor cortex,-0.013216294
LDA400_abstract_weight__37_anticipation_anticipatory_aversive,-0.013374787
terms_abstract_tfidf__neurological,-0.013413666
LDA400_abstract_weight__71_dimensions_horizontal_ap,-0.013441413
terms_abstract_tfidf__computational,-0.013476621
terms_abstract_tfidf__objectives,-0.013482856
LDA200_abstract_weight__178_resonance_magnetic_previous,-0.013621533
terms_abstract_tfidf__process,-0.0136289345
terms_abstract_tfidf__discriminated,-0.013632318
terms_abstract_tfidf__emotional stimuli,-0.0136324605
terms_abstract_tfidf__alcohol,-0.01374945
LDA100_abstract_weight__5_depression_mdd_disorder,-0.0137652755
LDA100_abstract_weight__73_parietal_frontal_inferior,-0.013781395
terms_abstract_tfidf__anticipation,-0.013788653
terms_abstract_tfidf__crus,-0.013796446
LDA400_abstract_weight__11_children_adults_age,-0.013799889
terms_abstract_tfidf__little known,-0.013892922
terms_abstract_tfidf__experiences,-0.013951102
terms_abstract_tfidf__absence,-0.014009738
terms_abstract_tfidf__conductance,-0.014012872
terms_abstract_tfidf__attention network,-0.014019192
LDA400_abstract_weight__176_movements_movement_motor,-0.014023734
terms_abstract_tfidf__extended,-0.014027563
terms_abstract_tfidf__fundamental,-0.014054394
LDA400_abstract_weight__326_predicted_individual_predict,-0.014077661
LDA400_abstract_weight__207_target_targets_distractor,-0.0140823955
terms_abstract_tfidf__distributed network,-0.014090172
terms_abstract_tfidf__crucial,-0.0141270105
terms_abstract_tfidf__testing,-0.014164191
terms_abstract_tfidf__genetic risk,-0.014216588
LDA100_abstract_weight__7_ms_source_meg,-0.014362697
terms_abstract_tfidf__activations,-0.014409503
terms_abstract_tfidf__novel,-0.014436186
LDA400_abstract_weight__6_long_term_short,-0.01445532
terms_abstract_tfidf__compulsive disorder,-0.014543009
terms_abstract_tfidf__define,-0.014610515
terms_abstract_tfidf__implementation,-0.014633122
LDA400_abstract_weight__87_psychosis_risk_schizophrenia,-0.014666106
LDA200_abstract_weight__116_task_matching_strategy,-0.0146781355
LDA50_abstract_weight__32_pain_somatosensory_stimulation,-0.014758125
terms_abstract_tfidf__resonance scans,-0.014797613
terms_abstract_tfidf__positive correlations,-0.014819457
terms_abstract_tfidf__mild,-0.014888469
terms_abstract_tfidf__spectrum disorders,-0.014904421
terms_abstract_tfidf__covaried,-0.014904608
LDA400_abstract_weight__121_abnormal_disorder_abnormalities,-0.014926339
terms_abstract_tfidf__select,-0.014943332
terms_abstract_tfidf__neutral stimuli,-0.014992502
terms_abstract_tfidf__connections,-0.015039803
terms_abstract_tfidf__high functioning,-0.015052781
terms_abstract_tfidf__switch,-0.015080388
terms_abstract_tfidf__pre post,-0.015085517
terms_abstract_tfidf__double blind,-0.015167443
terms_abstract_tfidf__indexed,-0.015178196
terms_abstract_tfidf__result,-0.015199448
terms_abstract_tfidf__guided,-0.015219251
LDA200_abstract_weight__76_ocd_disorder_compulsive,-0.015220979
LDA400_abstract_weight__365_time_rt_reaction,-0.015237821
terms_abstract_tfidf__known involved,-0.015266463
terms_abstract_tfidf__repetition,-0.01527075
terms_abstract_tfidf__direct,-0.015276332
terms_abstract_tfidf__efficient,-0.01529674
terms_abstract_tfidf__medial,-0.015476047
terms_abstract_tfidf__identifying,-0.015480149
terms_abstract_tfidf__cingulate gyrus,-0.015522311
terms_abstract_tfidf__normalized,-0.01561257
terms_abstract_tfidf__skin conductance,-0.015627
terms_abstract_tfidf__neuroanatomical,-0.015670964
terms_abstract_tfidf__remarkably,-0.015748851
terms_abstract_tfidf__subset,-0.01575355
terms_abstract_tfidf__incidental,-0.015768126
terms_abstract_tfidf__major depression,-0.015784832
terms_abstract_tfidf__importantly,-0.015792659
terms_abstract_tfidf__research suggests,-0.015802948
terms_abstract_tfidf__memories,-0.015887832
LDA100_abstract_weight__74_placebo_ocd_dopamine,-0.01590851
terms_abstract_tfidf__threshold,-0.01601826
terms_abstract_tfidf__young,-0.01603304
terms_abstract_tfidf__behavioral performance,-0.01608922
terms_abstract_tfidf__lobules,-0.016131585
terms_abstract_tfidf__eye field,-0.016151758
LDA400_abstract_weight__181_females_males_sex,-0.01618149
terms_abstract_tfidf__correlate,-0.016262773
LDA400_abstract_weight__316_sensitive_sensitivity_suggest,-0.016267754
terms_abstract_tfidf__provided,-0.016290603
LDA400_abstract_weight__375_integration_audiovisual_visual,-0.016330564
terms_abstract_tfidf__center,-0.0163874
terms_abstract_tfidf__interference,-0.016390158
terms_abstract_tfidf__psychiatric disorders,-0.016410692
terms_abstract_tfidf__symptom severity,-0.016440466
LDA400_abstract_weight__79_users_cocaine_drug,-0.016507193
terms_abstract_tfidf__endogenous,-0.016550843
terms_abstract_tfidf__separate,-0.016574305
terms_abstract_tfidf__muscle,-0.016806912
LDA400_abstract_weight__189_risk_risky_taking,-0.016827032
terms_abstract_tfidf__structure,-0.016847499
terms_abstract_tfidf__separately,-0.016856512
terms_abstract_tfidf__long term,-0.01686088
terms_abstract_tfidf__age,-0.01686344
terms_abstract_tfidf__close,-0.016879315
terms_abstract_tfidf__wise,-0.016896892
terms_abstract_tfidf__reduces,-0.016897103
LDA100_abstract_weight__15_mirror_observation_imitation,-0.016912302
terms_abstract_tfidf__organized,-0.016929833
LDA100_abstract_weight__52_white_matter_structural,-0.016956607
terms_abstract_tfidf__parietal frontal,-0.017037328
terms_abstract_tfidf__immediately,-0.01709718
terms_abstract_tfidf__maturation,-0.0171239
terms_abstract_tfidf__masked,-0.01715755
terms_abstract_tfidf__coordination,-0.017166752
terms_abstract_tfidf__oxygen level,-0.017203167
terms_abstract_tfidf__largely,-0.017232602
terms_abstract_tfidf__aversive,-0.017277123
terms_abstract_tfidf__25,-0.017338956
terms_abstract_tfidf__shed,-0.017354378
terms_abstract_tfidf__transformation,-0.01738879
terms_abstract_tfidf__subgenual,-0.017411716
terms_abstract_tfidf__oxygen,-0.017412836
terms_abstract_tfidf__18,-0.017417695
terms_abstract_tfidf__partially,-0.017425928
terms_abstract_tfidf__facial expressions,-0.017430978
terms_abstract_tfidf__blood oxygen,-0.017441753
terms_abstract_tfidf__24,-0.01746676
terms_abstract_tfidf__time series,-0.017616823
terms_abstract_tfidf__measurements,-0.017683674
terms_abstract_tfidf__graph,-0.017702946
terms_abstract_tfidf__forward,-0.017783025
terms_abstract_tfidf__genetic,-0.01785068
terms_abstract_tfidf__ages,-0.017864663
terms_abstract_tfidf__psychiatric,-0.01790501
LDA400_abstract_weight__354_depression_mdd_depressive,-0.017957456
terms_abstract_tfidf__predictions,-0.017985158
terms_abstract_tfidf__contexts,-0.018115781
terms_abstract_tfidf__negative positive,-0.01811928
terms_abstract_tfidf__relate,-0.018190399
LDA400_abstract_weight__98_stroke_recovery_acute,-0.018212337
terms_abstract_tfidf__seeds,-0.018314281
LDA200_abstract_weight__185_relatives_genetic_siblings,-0.018355122
terms_abstract_tfidf__chosen,-0.01840069
terms_abstract_tfidf__regulating,-0.018442407
terms_abstract_tfidf__deactivated,-0.018446183
terms_abstract_tfidf__cortex middle,-0.018525427
terms_abstract_tfidf__sum,-0.018528717
terms_abstract_tfidf__details,-0.018588811
terms_abstract_tfidf__adolescents,-0.018596977
terms_abstract_tfidf__ventromedial prefrontal,-0.018628681
terms_abstract_tfidf__literature,-0.018729566
LDA100_abstract_weight__66_allele_genetic_gene,-0.018751984
terms_abstract_tfidf__rating,-0.018759536
terms_abstract_tfidf__population,-0.018796649
terms_abstract_tfidf__mixed,-0.018814255
terms_abstract_tfidf__word recognition,-0.018853828
terms_abstract_tfidf__median,-0.018854598
terms_abstract_tfidf__nouns,-0.018858574
terms_abstract_tfidf__described,-0.018887043
terms_abstract_tfidf__quantitative,-0.01894619
terms_abstract_tfidf__took,-0.018997218
terms_abstract_tfidf__differential,-0.019021394
LDA100_abstract_weight__0_group_control_age,-0.019105341
LDA400_abstract_weight__345_roi_voxel_rois,-0.019115943
terms_abstract_tfidf__drug,-0.019129865
terms_abstract_tfidf__reverse,-0.019181749
terms_abstract_tfidf__drugs,-0.01918214
terms_abstract_tfidf__divergent,-0.019264076
LDA400_abstract_weight__114_measures_measure_total,-0.01933066
